# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:49:35 2024 
# file:  Bollen.nomean.GLS.out 

      lhs op   rhs group        type   lav   mpl delta
1   dem60 =~    y1     1         est 1.000 1.000 0.000
2   dem60 =~    y2     1         est 1.183 1.183 0.000
3   dem60 =~    y3     1         est 1.224 1.224 0.000
4   dem60 =~    y4     1         est 1.226 1.226 0.000
5   dem65 =~    y5     1         est 1.000 1.000 0.000
6   dem65 =~    y6     1         est 1.183 1.183 0.000
7   dem65 =~    y7     1         est 1.224 1.224 0.000
8   dem65 =~    y8     1         est 1.226 1.226 0.000
9   ind60 =~    x1     1         est 1.000 1.000 0.000
10  ind60 =~    x2     1         est 2.240 2.240 0.000
11  ind60 =~    x3     1         est 1.886 1.886 0.000
12  dem60  ~ ind60     1         est 1.808 1.808 0.000
13  dem65  ~ ind60     1         est 0.716 0.716 0.000
14  dem65  ~ dem60     1         est 0.801 0.801 0.000
15     y1 ~~    y5     1         est 0.409 0.409 0.000
16     y2 ~~    y4     1         est 1.534 1.534 0.000
17     y2 ~~    y6     1         est 1.314 1.314 0.000
18     y3 ~~    y7     1         est 0.740 0.740 0.000
19     y4 ~~    y8     1         est 0.294 0.294 0.000
20     y6 ~~    y8     1         est 0.941 0.941 0.000
21     y1 ~~    y1     1         est 1.419 1.419 0.000
22     y2 ~~    y2     1         est 6.300 6.300 0.000
23     y3 ~~    y3     1         est 3.821 3.821 0.000
24     y4 ~~    y4     1         est 2.841 2.841 0.000
25     y5 ~~    y5     1         est 1.849 1.849 0.000
26     y6 ~~    y6     1         est 3.707 3.707 0.000
27     y7 ~~    y7     1         est 3.020 3.020 0.000
28     y8 ~~    y8     1         est 2.794 2.794 0.000
29     x1 ~~    x1     1         est 0.051 0.051 0.000
30     x2 ~~    x2     1         est 0.154 0.154 0.000
31     x3 ~~    x3     1         est 0.404 0.404 0.000
32  dem60 ~~ dem60     1         est 3.241 3.241 0.000
33  dem65 ~~ dem65     1         est 0.219 0.219 0.000
34  ind60 ~~ ind60     1         est 0.359 0.359 0.000
35  dem60 =~    y1     1          se 0.000 0.000 0.000
36  dem60 =~    y2     1          se 0.150 0.150 0.000
37  dem60 =~    y3     1          se 0.134 0.134 0.000
38  dem60 =~    y4     1          se 0.131 0.131 0.000
39  dem65 =~    y5     1          se 0.000 0.000 0.000
40  dem65 =~    y6     1          se 0.150 0.150 0.000
41  dem65 =~    y7     1          se 0.134 0.134 0.000
42  dem65 =~    y8     1          se 0.131 0.131 0.000
43  ind60 =~    x1     1          se 0.000 0.000 0.000
