# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:21:28 2024 
# file:  Bollen.nomean.ML.expected.out 

      lhs op   rhs group        type   lav   mpl delta
1   dem60 =~    y1     1         est 1.000 1.000 0.000
2   dem60 =~    y2     1         est 1.191 1.191 0.000
3   dem60 =~    y3     1         est 1.175 1.175 0.000
4   dem60 =~    y4     1         est 1.251 1.251 0.000
5   dem65 =~    y5     1         est 1.000 1.000 0.000
6   dem65 =~    y6     1         est 1.191 1.191 0.000
7   dem65 =~    y7     1         est 1.175 1.175 0.000
8   dem65 =~    y8     1         est 1.251 1.251 0.000
9   ind60 =~    x1     1         est 1.000 1.000 0.000
10  ind60 =~    x2     1         est 2.180 2.180 0.000
11  ind60 =~    x3     1         est 1.818 1.818 0.000
12  dem60  ~ ind60     1         est 1.471 1.471 0.000
13  dem65  ~ ind60     1         est 0.600 0.600 0.000
14  dem65  ~ dem60     1         est 0.865 0.865 0.000
15     y1 ~~    y5     1         est 0.583 0.583 0.000
16     y2 ~~    y4     1         est 1.440 1.440 0.000
17     y2 ~~    y6     1         est 2.183 2.183 0.000
18     y3 ~~    y7     1         est 0.712 0.712 0.000
19     y4 ~~    y8     1         est 0.363 0.363 0.000
20     y6 ~~    y8     1         est 1.372 1.372 0.000
21     y1 ~~    y1     1         est 1.855 1.855 0.000
22     y2 ~~    y2     1         est 7.581 7.581 0.000
23     y3 ~~    y3     1         est 4.956 4.956 0.000
24     y4 ~~    y4     1         est 3.225 3.224 0.001
25     y5 ~~    y5     1         est 2.313 2.313 0.000
26     y6 ~~    y6     1         est 4.968 4.968 0.000
27     y7 ~~    y7     1         est 3.560 3.560 0.000
28     y8 ~~    y8     1         est 3.308 3.308 0.000
29     x1 ~~    x1     1         est 0.081 0.081 0.000
30     x2 ~~    x2     1         est 0.120 0.120 0.000
31     x3 ~~    x3     1         est 0.467 0.467 0.000
32  dem60 ~~ dem60     1         est 3.875 3.875 0.000
33  dem65 ~~ dem65     1         est 0.164 0.164 0.000
34  ind60 ~~ ind60     1         est 0.449 0.449 0.000
35  dem60 =~    y1     1          se 0.000 0.000 0.000
36  dem60 =~    y2     1          se 0.139 0.139 0.000
37  dem60 =~    y3     1          se 0.120 0.120 0.000
38  dem60 =~    y4     1          se 0.117 0.117 0.000
39  dem65 =~    y5     1          se 0.000 0.000 0.000
40  dem65 =~    y6     1          se 0.139 0.139 0.000
41  dem65 =~    y7     1          se 0.120 0.120 0.000
42  dem65 =~    y8     1          se 0.117 0.117 0.000
43  ind60 =~    x1     1          se 0.000 0.000 0.000
44  ind60 =~    x2     1          se 0.138 0.138 0.000
45  ind60 =~    x3     1          se 0.152 0.152 0.000
46  dem60  ~ ind60     1          se 0.392 0.392 0.000
47  dem65  ~ ind60     1          se 0.226 0.226 0.000
48  dem65  ~ dem60     1          se 0.075 0.075 0.000
49     y1 ~~    y5     1          se 0.356 0.356 0.000
50     y2 ~~    y4     1          se 0.689 0.689 0.000
51     y2 ~~    y6     1          se 0.737 0.737 0.000
52     y3 ~~    y7     1          se 0.611 0.611 0.000
53     y4 ~~    y8     1          se 0.444 0.444 0.000
54     y6 ~~    y8     1          se 0.577 0.577 0.000
55     y1 ~~    y1     1          se 0.433 0.433 0.000
56     y2 ~~    y2     1          se 1.366 1.366 0.000
57     y3 ~~    y3     1          se 0.956 0.956 0.000
58     y4 ~~    y4     1          se 0.723 0.723 0.000
59     y5 ~~    y5     1          se 0.479 0.479 0.000
60     y6 ~~    y6     1          se 0.921 0.921 0.000
61     y7 ~~    y7     1          se 0.710 0.710 0.000
62     y8 ~~    y8     1          se 0.704 0.704 0.000
63     x1 ~~    x1     1          se 0.019 0.019 0.000
64     x2 ~~    x2     1          se 0.070 0.070 0.000
65     x3 ~~    x3     1          se 0.090 0.090 0.000
66  dem60 ~~ dem60     1          se 0.866 0.866 0.000
67  dem65 ~~ dem65     1          se 0.227 0.227 0.000
68  ind60 ~~ ind60     1          se 0.087 0.087 0.000
69  dem60 =~    y1     1     est.std 2.201 2.201 0.000
70  dem60 =~    y2     1     est.std 2.621 2.621 0.000
71  dem60 =~    y3     1     est.std 2.586 2.586 0.000
72  dem60 =~    y4     1     est.std 2.754 2.754 0.000
73  dem65 =~    y5     1     est.std 2.154 2.154 0.000
74  dem65 =~    y6     1     est.std 2.565 2.565 0.000
75  dem65 =~    y7     1     est.std 2.530 2.530 0.000
76  dem65 =~    y8     1     est.std 2.694 2.694 0.000
77  ind60 =~    x1     1     est.std 0.670 0.670 0.000
78  ind60 =~    x2     1     est.std 1.460 1.460 0.000
79  ind60 =~    x3     1     est.std 1.218 1.218 0.000
80  dem60  ~ ind60     1     est.std 0.448 0.448 0.000
81  dem65  ~ ind60     1     est.std 0.187 0.187 0.000
82  dem65  ~ dem60     1     est.std 0.884 0.884 0.000
83     y1 ~~    y5     1     est.std 0.583 0.583 0.000
84     y2 ~~    y4     1     est.std 1.440 1.440 0.000
85     y2 ~~    y6     1     est.std 2.183 2.183 0.000
86     y3 ~~    y7     1     est.std 0.712 0.712 0.000
87     y4 ~~    y8     1     est.std 0.363 0.363 0.000
88     y6 ~~    y8     1     est.std 1.372 1.372 0.000
89     y1 ~~    y1     1     est.std 1.855 1.855 0.000
90     y2 ~~    y2     1     est.std 7.581 7.581 0.000
91     y3 ~~    y3     1     est.std 4.956 4.956 0.000
92     y4 ~~    y4     1     est.std 3.225 3.224 0.001
93     y5 ~~    y5     1     est.std 2.313 2.313 0.000
94     y6 ~~    y6     1     est.std 4.968 4.968 0.000
95     y7 ~~    y7     1     est.std 3.560 3.560 0.000
96     y8 ~~    y8     1     est.std 3.308 3.308 0.000
97     x1 ~~    x1     1     est.std 0.081 0.081 0.000
98     x2 ~~    x2     1     est.std 0.120 0.120 0.000
99     x3 ~~    x3     1     est.std 0.467 0.467 0.000
100 dem60 ~~ dem60     1     est.std 0.800 0.800 0.000
101 dem65 ~~ dem65     1     est.std 0.035 0.035 0.000
102 ind60 ~~ ind60     1     est.std 1.000 1.000 0.000
103 dem60 =~    y1     1 est.std.all 0.850 0.850 0.000
104 dem60 =~    y2     1 est.std.all 0.690 0.690 0.000
105 dem60 =~    y3     1 est.std.all 0.758 0.758 0.000
106 dem60 =~    y4     1 est.std.all 0.838 0.838 0.000
107 dem65 =~    y5     1 est.std.all 0.817 0.817 0.000
108 dem65 =~    y6     1 est.std.all 0.755 0.755 0.000
109 dem65 =~    y7     1 est.std.all 0.802 0.802 0.000
110 dem65 =~    y8     1 est.std.all 0.829 0.829 0.000
111 ind60 =~    x1     1 est.std.all 0.920 0.920 0.000
112 ind60 =~    x2     1 est.std.all 0.973 0.973 0.000
113 ind60 =~    x3     1 est.std.all 0.872 0.872 0.000
114 dem60  ~ ind60     1 est.std.all 0.448 0.448 0.000
115 dem65  ~ ind60     1 est.std.all 0.187 0.187 0.000
116 dem65  ~ dem60     1 est.std.all 0.884 0.884 0.000
117    y1 ~~    y5     1 est.std.all 0.281 0.281 0.000
118    y2 ~~    y4     1 est.std.all 0.291 0.291 0.000
119    y2 ~~    y6     1 est.std.all 0.356 0.356 0.000
120    y3 ~~    y7     1 est.std.all 0.169 0.169 0.000
121    y4 ~~    y8     1 est.std.all 0.111 0.111 0.000
122    y6 ~~    y8     1 est.std.all 0.338 0.338 0.000
123    y1 ~~    y1     1 est.std.all 0.277 0.277 0.000
124    y2 ~~    y2     1 est.std.all 0.525 0.525 0.000
125    y3 ~~    y3     1 est.std.all 0.426 0.426 0.000
126    y4 ~~    y4     1 est.std.all 0.298 0.298 0.000
127    y5 ~~    y5     1 est.std.all 0.333 0.333 0.000
128    y6 ~~    y6     1 est.std.all 0.430 0.430 0.000
129    y7 ~~    y7     1 est.std.all 0.357 0.357 0.000
130    y8 ~~    y8     1 est.std.all 0.313 0.313 0.000
131    x1 ~~    x1     1 est.std.all 0.154 0.154 0.000
132    x2 ~~    x2     1 est.std.all 0.053 0.053 0.000
