# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:21:43 2024 
# file:  ex5.16.ULSMV.out 

    lhs  op rhs group        type    lav    mpl  delta
1    f1  =~  u1     1         est  1.000  1.000  0.000
2    f1  =~  u2     1         est  0.984  0.984  0.000
3    f1  =~  u3     1         est  0.985  0.985  0.000
4    f2  =~  u4     1         est  1.000  1.000  0.000
5    f2  =~  u5     1         est  1.005  1.005  0.000
6    f2  =~  u6     1         est  1.008  1.008  0.000
7    f1   ~  x1     1         est  0.495  0.495  0.000
8    f1   ~  x2     1         est  0.545  0.545  0.000
9    f1   ~  x3     1         est  0.664  0.664  0.000
10   f2   ~  x1     1         est  0.641  0.641  0.000
11   f2   ~  x2     1         est  0.615  0.615  0.000
12   f2   ~  x3     1         est  0.447  0.447  0.000
13   u3   |  t1     1         est -0.230 -0.230  0.000
14   u3 ~*~  u3     1         est  1.000  1.000  0.000
15   u1   |  t1     1         est -0.905 -0.905  0.000
16   u2   |  t1     1         est -0.536 -0.536  0.000
17   u4   |  t1     1         est -0.013 -0.013  0.000
18   u5   |  t1     1         est  0.198  0.197  0.001
19   u6   |  t1     1         est  0.500  0.500  0.000
20   f1  ~~  f1     1         est  0.722  0.722  0.000
21   f2  ~~  f2     1         est  0.680  0.680  0.000
22   f1  ~~  f2     1         est  0.004  0.004  0.000
23   u1 ~*~  u1     1         est  1.000  1.000  0.000
24   u2 ~*~  u2     1         est  1.000  1.000  0.000
25   u4 ~*~  u4     1         est  1.000  1.000  0.000
26   u5 ~*~  u5     1         est  1.000  1.000  0.000
27   u6 ~*~  u6     1         est  1.000  1.000  0.000
28   f1  =~  u1     2         est  1.000  1.000  0.000
29   f1  =~  u2     2         est  0.984  0.984  0.000
30   f1  =~  u3     2         est  0.743  0.743  0.000
31   f2  =~  u4     2         est  1.000  1.000  0.000
32   f2  =~  u5     2         est  1.005  1.005  0.000
33   f2  =~  u6     2         est  1.008  1.008  0.000
34   f1   ~  x1     2         est  0.418  0.418  0.000
35   f1   ~  x2     2         est  0.497  0.497  0.000
36   f1   ~  x3     2         est  0.552  0.552  0.000
37   f2   ~  x1     2         est  0.764  0.765 -0.001
38   f2   ~  x2     2         est  0.636  0.637 -0.001
39   f2   ~  x3     2         est  0.521  0.521  0.000
40   u3   |  t1     2         est  0.462  0.462  0.000
41   u3 ~*~  u3     2         est  1.000  1.000  0.000
42   u1   |  t1     2         est -0.905 -0.905  0.000
43   u2   |  t1     2         est -0.536 -0.536  0.000
44   u4   |  t1     2         est -0.013 -0.013  0.000
45   u5   |  t1     2         est  0.198  0.197  0.001
46   u6   |  t1     2         est  0.500  0.500  0.000
47   f1  ~~  f1     2         est  0.457  0.457  0.000
48   f2  ~~  f2     2         est  0.795  0.795  0.000
49   f1  ~~  f2     2         est -0.043 -0.043  0.000
50   u1 ~*~  u1     2         est  1.287  1.287  0.000
51   u2 ~*~  u2     2         est  1.254  1.254  0.000
52   u4 ~*~  u4     2         est  0.971  0.971  0.000
53   u5 ~*~  u5     2         est  0.941  0.941  0.000
54   u6 ~*~  u6     2         est  0.916  0.916  0.000
55   f1  ~1         2         est -0.136 -0.136  0.000
56   f2  ~1         2         est -0.033 -0.033  0.000
57   f1  =~  u1     1          se  0.000  0.000  0.000
58   f1  =~  u2     1          se  0.055  0.055  0.000
59   f1  =~  u3     1          se  0.052  0.052  0.000
60   f2  =~  u4     1          se  0.000  0.000  0.000
61   f2  =~  u5     1          se  0.045  0.045  0.000
62   f2  =~  u6     1          se  0.049  0.049  0.000
63   f1   ~  x1     1          se  0.045  0.045  0.000
64   f1   ~  x2     1          se  0.045  0.045  0.000
65   f1   ~  x3     1          se  0.047  0.047  0.000
66   f2   ~  x1     1          se  0.045  0.045  0.000
67   f2   ~  x2     1          se  0.043  0.043  0.000
68   f2   ~  x3     1          se  0.041  0.041  0.000
69   u3   |  t1     1          se  0.047  0.047  0.000
70   u3 ~*~  u3     1          se  0.000  0.000  0.000
71   u1   |  t1     1          se  0.057  0.057  0.000
72   u2   |  t1     1          se  0.052  0.052  0.000
73   u4   |  t1     1          se  0.045  0.045  0.000
74   u5   |  t1     1          se  0.042  0.042  0.000
75   u6   |  t1     1          se  0.049  0.049  0.000
76   f1  ~~  f1     1          se  0.053  0.053  0.000
77   f2  ~~  f2     1          se  0.045  0.045  0.000
78   f1  ~~  f2     1          se  0.042  0.042  0.000
79   u1 ~*~  u1     1          se  0.000  0.000  0.000
