# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:49:59 2024 
# file:  ex5.16.WLS.out 

    lhs  op rhs group        type    lav    mpl delta
1    f1  =~  u1     1         est  1.000  1.000 0.000
2    f1  =~  u2     1         est  0.964  0.964 0.000
3    f1  =~  u3     1         est  0.986  0.986 0.000
4    f2  =~  u4     1         est  1.000  1.000 0.000
5    f2  =~  u5     1         est  1.003  1.003 0.000
6    f2  =~  u6     1         est  0.996  0.996 0.000
7    f1   ~  x1     1         est  0.491  0.491 0.000
8    f1   ~  x2     1         est  0.544  0.544 0.000
9    f1   ~  x3     1         est  0.673  0.673 0.000
10   f2   ~  x1     1         est  0.638  0.638 0.000
11   f2   ~  x2     1         est  0.612  0.612 0.000
12   f2   ~  x3     1         est  0.445  0.445 0.000
13   u3   |  t1     1         est -0.230 -0.230 0.000
14   u3 ~*~  u3     1         est  1.000  1.000 0.000
15   u1   |  t1     1         est -0.915 -0.915 0.000
16   u2   |  t1     1         est -0.524 -0.524 0.000
17   u4   |  t1     1         est -0.004 -0.004 0.000
18   u5   |  t1     1         est  0.197  0.197 0.000
19   u6   |  t1     1         est  0.482  0.482 0.000
20   f1  ~~  f1     1         est  0.742  0.742 0.000
21   f2  ~~  f2     1         est  0.695  0.695 0.000
22   f1  ~~  f2     1         est  0.012  0.012 0.000
23   u1 ~*~  u1     1         est  1.000  1.000 0.000
24   u2 ~*~  u2     1         est  1.000  1.000 0.000
25   u4 ~*~  u4     1         est  1.000  1.000 0.000
26   u5 ~*~  u5     1         est  1.000  1.000 0.000
27   u6 ~*~  u6     1         est  1.000  1.000 0.000
28   f1  =~  u1     2         est  1.000  1.000 0.000
29   f1  =~  u2     2         est  0.964  0.964 0.000
30   f1  =~  u3     2         est  0.727  0.727 0.000
31   f2  =~  u4     2         est  1.000  1.000 0.000
32   f2  =~  u5     2         est  1.003  1.003 0.000
33   f2  =~  u6     2         est  0.996  0.996 0.000
34   f1   ~  x1     2         est  0.420  0.420 0.000
35   f1   ~  x2     2         est  0.502  0.502 0.000
36   f1   ~  x3     2         est  0.562  0.562 0.000
37   f2   ~  x1     2         est  0.720  0.720 0.000
38   f2   ~  x2     2         est  0.610  0.610 0.000
39   f2   ~  x3     2         est  0.492  0.492 0.000
40   u3   |  t1     2         est  0.469  0.469 0.000
41   u3 ~*~  u3     2         est  1.000  1.000 0.000
42   u1   |  t1     2         est -0.915 -0.915 0.000
43   u2   |  t1     2         est -0.524 -0.524 0.000
44   u4   |  t1     2         est -0.004 -0.004 0.000
45   u5   |  t1     2         est  0.197  0.197 0.000
46   u6   |  t1     2         est  0.482  0.482 0.000
47   f1  ~~  f1     2         est  0.474  0.474 0.000
48   f2  ~~  f2     2         est  0.736  0.736 0.000
49   f1  ~~  f2     2         est -0.042 -0.042 0.000
50   u1 ~*~  u1     2         est  1.253  1.253 0.000
51   u2 ~*~  u2     2         est  1.257  1.257 0.000
52   u4 ~*~  u4     2         est  1.003  1.003 0.000
53   u5 ~*~  u5     2         est  0.999  0.999 0.000
54   u6 ~*~  u6     2         est  0.974  0.974 0.000
55   f1  ~1         2         est -0.137 -0.137 0.000
56   f2  ~1         2         est -0.020 -0.020 0.000
57   f1  =~  u1     1          se  0.000  0.000 0.000
58   f1  =~  u2     1          se  0.047  0.047 0.000
59   f1  =~  u3     1          se  0.048  0.048 0.000
60   f2  =~  u4     1          se  0.000  0.000 0.000
61   f2  =~  u5     1          se  0.043  0.043 0.000
62   f2  =~  u6     1          se  0.044  0.044 0.000
63   f1   ~  x1     1          se  0.043  0.043 0.000
64   f1   ~  x2     1          se  0.044  0.044 0.000
65   f1   ~  x3     1          se  0.046  0.046 0.000
66   f2   ~  x1     1          se  0.045  0.045 0.000
67   f2   ~  x2     1          se  0.043  0.043 0.000
68   f2   ~  x3     1          se  0.041  0.041 0.000
69   u3   |  t1     1          se  0.046  0.046 0.000
70   u3 ~*~  u3     1          se  0.000  0.000 0.000
71   u1   |  t1     1          se  0.054  0.054 0.000
72   u2   |  t1     1          se  0.049  0.049 0.000
73   u4   |  t1     1          se  0.045  0.045 0.000
74   u5   |  t1     1          se  0.042  0.042 0.000
75   u6   |  t1     1          se  0.047  0.047 0.000
76   f1  ~~  f1     1          se  0.050  0.050 0.000
77   f2  ~~  f2     1          se  0.044  0.044 0.000
78   f1  ~~  f2     1          se  0.042  0.042 0.000
79   u1 ~*~  u1     1          se  0.000  0.000 0.000
80   u2 ~*~  u2     1          se  0.000  0.000 0.000
81   u4 ~*~  u4     1          se  0.000  0.000 0.000
82   u5 ~*~  u5     1          se  0.000  0.000 0.000
83   u6 ~*~  u6     1          se  0.000  0.000 0.000
84   f1  =~  u1     2          se  0.000  0.000 0.000
85   f1  =~  u2     2          se  0.047  0.047 0.000
86   f1  =~  u3     2          se  0.139  0.139 0.000
87   f2  =~  u4     2          se  0.000  0.000 0.000
88   f2  =~  u5     2          se  0.043  0.043 0.000
89   f2  =~  u6     2          se  0.044  0.044 0.000
90   f1   ~  x1     2          se  0.082  0.082 0.000
91   f1   ~  x2     2          se  0.095  0.095 0.000
92   f1   ~  x3     2          se  0.106  0.106 0.000
93   f2   ~  x1     2          se  0.110  0.110 0.000
94   f2   ~  x2     2          se  0.096  0.096 0.000
95   f2   ~  x3     2          se  0.080  0.080 0.000
96   u3   |  t1     2          se  0.110  0.110 0.000
97   u3 ~*~  u3     2          se  0.000  0.000 0.000
98   u1   |  t1     2          se  0.054  0.054 0.000
99   u2   |  t1     2          se  0.049  0.049 0.000
100  u4   |  t1     2          se  0.045  0.045 0.000
101  u5   |  t1     2          se  0.042  0.042 0.000
