# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:50:03 2024 
# file:  ex5.16.WLSM.out 

    lhs  op rhs group        type    lav    mpl delta
1    f1  =~  u1     1         est  1.000  1.000 0.000
2    f1  =~  u2     1         est  0.957  0.957 0.000
3    f1  =~  u3     1         est  0.978  0.978 0.000
4    f2  =~  u4     1         est  1.000  1.000 0.000
5    f2  =~  u5     1         est  1.002  1.002 0.000
6    f2  =~  u6     1         est  0.991  0.991 0.000
7    f1   ~  x1     1         est  0.499  0.499 0.000
8    f1   ~  x2     1         est  0.550  0.550 0.000
9    f1   ~  x3     1         est  0.671  0.671 0.000
10   f2   ~  x1     1         est  0.644  0.644 0.000
11   f2   ~  x2     1         est  0.619  0.619 0.000
12   f2   ~  x3     1         est  0.450  0.450 0.000
13   u3   |  t1     1         est -0.230 -0.230 0.000
14   u3 ~*~  u3     1         est  1.000  1.000 0.000
15   u1   |  t1     1         est -0.905 -0.905 0.000
16   u2   |  t1     1         est -0.536 -0.536 0.000
17   u4   |  t1     1         est -0.013 -0.013 0.000
18   u5   |  t1     1         est  0.198  0.198 0.000
19   u6   |  t1     1         est  0.499  0.499 0.000
20   f1  ~~  f1     1         est  0.741  0.741 0.000
21   f2  ~~  f2     1         est  0.691  0.691 0.000
22   f1  ~~  f2     1         est  0.005  0.005 0.000
23   u1 ~*~  u1     1         est  1.000  1.000 0.000
24   u2 ~*~  u2     1         est  1.000  1.000 0.000
25   u4 ~*~  u4     1         est  1.000  1.000 0.000
26   u5 ~*~  u5     1         est  1.000  1.000 0.000
27   u6 ~*~  u6     1         est  1.000  1.000 0.000
28   f1  =~  u1     2         est  1.000  1.000 0.000
29   f1  =~  u2     2         est  0.957  0.957 0.000
30   f1  =~  u3     2         est  0.777  0.777 0.000
31   f2  =~  u4     2         est  1.000  1.000 0.000
32   f2  =~  u5     2         est  1.002  1.002 0.000
33   f2  =~  u6     2         est  0.991  0.991 0.000
34   f1   ~  x1     2         est  0.397  0.397 0.000
35   f1   ~  x2     2         est  0.471  0.471 0.000
36   f1   ~  x3     2         est  0.521  0.521 0.000
37   f2   ~  x1     2         est  0.780  0.780 0.000
38   f2   ~  x2     2         est  0.648  0.648 0.000
39   f2   ~  x3     2         est  0.530  0.530 0.000
40   u3   |  t1     2         est  0.430  0.430 0.000
41   u3 ~*~  u3     2         est  1.000  1.000 0.000
42   u1   |  t1     2         est -0.905 -0.905 0.000
43   u2   |  t1     2         est -0.536 -0.536 0.000
44   u4   |  t1     2         est -0.013 -0.013 0.000
45   u5   |  t1     2         est  0.198  0.198 0.000
46   u6   |  t1     2         est  0.499  0.499 0.000
47   f1  ~~  f1     2         est  0.409  0.409 0.000
48   f2  ~~  f2     2         est  0.830  0.830 0.000
49   f1  ~~  f2     2         est -0.039 -0.039 0.000
50   u1 ~*~  u1     2         est  1.349  1.349 0.000
51   u2 ~*~  u2     2         est  1.356  1.356 0.000
52   u4 ~*~  u4     2         est  0.939  0.939 0.000
53   u5 ~*~  u5     2         est  0.931  0.931 0.000
54   u6 ~*~  u6     2         est  0.917  0.917 0.000
55   f1  ~1         2         est -0.172 -0.172 0.000
56   f2  ~1         2         est -0.035 -0.035 0.000
57   f1  =~  u1     1          se  0.000  0.000 0.000
58   f1  =~  u2     1          se  0.049  0.049 0.000
59   f1  =~  u3     1          se  0.049  0.049 0.000
60   f2  =~  u4     1          se  0.000  0.000 0.000
61   f2  =~  u5     1          se  0.044  0.044 0.000
62   f2  =~  u6     1          se  0.045  0.045 0.000
63   f1   ~  x1     1          se  0.044  0.044 0.000
64   f1   ~  x2     1          se  0.045  0.045 0.000
65   f1   ~  x3     1          se  0.046  0.046 0.000
66   f2   ~  x1     1          se  0.045  0.045 0.000
67   f2   ~  x2     1          se  0.043  0.043 0.000
68   f2   ~  x3     1          se  0.041  0.041 0.000
69   u3   |  t1     1          se  0.047  0.047 0.000
70   u3 ~*~  u3     1          se  0.000  0.000 0.000
71   u1   |  t1     1          se  0.057  0.057 0.000
72   u2   |  t1     1          se  0.052  0.052 0.000
73   u4   |  t1     1          se  0.045  0.045 0.000
74   u5   |  t1     1          se  0.042  0.042 0.000
75   u6   |  t1     1          se  0.049  0.049 0.000
76   f1  ~~  f1     1          se  0.051  0.051 0.000
77   f2  ~~  f2     1          se  0.044  0.044 0.000
78   f1  ~~  f2     1          se  0.043  0.043 0.000
79   u1 ~*~  u1     1          se  0.000  0.000 0.000
80   u2 ~*~  u2     1          se  0.000  0.000 0.000
81   u4 ~*~  u4     1          se  0.000  0.000 0.000
82   u5 ~*~  u5     1          se  0.000  0.000 0.000
83   u6 ~*~  u6     1          se  0.000  0.000 0.000
84   f1  =~  u1     2          se  0.000  0.000 0.000
85   f1  =~  u2     2          se  0.049  0.049 0.000
86   f1  =~  u3     2          se  0.166  0.166 0.000
87   f2  =~  u4     2          se  0.000  0.000 0.000
88   f2  =~  u5     2          se  0.044  0.044 0.000
89   f2  =~  u6     2          se  0.045  0.045 0.000
90   f1   ~  x1     2          se  0.086  0.086 0.000
91   f1   ~  x2     2          se  0.100  0.100 0.000
92   f1   ~  x3     2          se  0.111  0.110 0.001
93   f2   ~  x1     2          se  0.121  0.121 0.000
94   f2   ~  x2     2          se  0.103  0.103 0.000
95   f2   ~  x3     2          se  0.088  0.087 0.001
96   u3   |  t1     2          se  0.129  0.129 0.000
97   u3 ~*~  u3     2          se  0.000  0.000 0.000
98   u1   |  t1     2          se  0.057  0.057 0.000
99   u2   |  t1     2          se  0.052  0.052 0.000
100  u4   |  t1     2          se  0.045  0.045 0.000
101  u5   |  t1     2          se  0.042  0.042 0.000
102  u6   |  t1     2          se  0.049  0.049 0.000
103  f1  ~~  f1     2          se  0.172  0.172 0.000
104  f2  ~~  f2     2          se  0.251  0.251 0.000
105  f1  ~~  f2     2          se  0.036  0.036 0.000
106  u1 ~*~  u1     2          se  0.276  0.275 0.001
107  u2 ~*~  u2     2          se  0.303  0.302 0.001
108  u4 ~*~  u4     2          se  0.142  0.142 0.000
109  u5 ~*~  u5     2          se  0.142  0.142 0.000
110  u6 ~*~  u6     2          se  0.134  0.133 0.001
111  f1  ~1         2          se  0.128  0.128 0.000
112  f2  ~1         2          se  0.064  0.064 0.000
113  f1  =~  u1     1     est.std  1.357  1.357 0.000
114  f1  =~  u2     1     est.std  1.300  1.300 0.000
115  f1  =~  u3     1     est.std  1.327  1.327 0.000
116  f2  =~  u4     1     est.std  1.335  1.335 0.000
117  f2  =~  u5     1     est.std  1.337  1.337 0.000
118  f2  =~  u6     1     est.std  1.324  1.324 0.000
119  f1   ~  x1     1     est.std  0.368  0.368 0.000
120  f1   ~  x2     1     est.std  0.406  0.406 0.000
121  f1   ~  x3     1     est.std  0.494  0.494 0.000
122  f2   ~  x1     1     est.std  0.482  0.482 0.000
123  f2   ~  x2     1     est.std  0.463  0.463 0.000
124  f2   ~  x3     1     est.std  0.337  0.337 0.000
125  u3   |  t1     1     est.std -0.230 -0.230 0.000
126  u3 ~*~  u3     1     est.std  1.000  1.000 0.000
127  u1   |  t1     1     est.std -0.905 -0.905 0.000
128  u2   |  t1     1     est.std -0.536 -0.536 0.000
129  u4   |  t1     1     est.std -0.013 -0.013 0.000
130  u5   |  t1     1     est.std  0.198  0.198 0.000
131  u6   |  t1     1     est.std  0.499  0.499 0.000
132  f1  ~~  f1     1     est.std  0.402  0.402 0.000
133  f2  ~~  f2     1     est.std  0.388  0.388 0.000
134  f1  ~~  f2     1     est.std  0.007  0.007 0.000
135  u1 ~*~  u1     1     est.std  1.000  1.000 0.000
136  u2 ~*~  u2     1     est.std  1.000  1.000 0.000
137  u4 ~*~  u4     1     est.std  1.000  1.000 0.000
138  u5 ~*~  u5     1     est.std  1.000  1.000 0.000
139  u6 ~*~  u6     1     est.std  1.000  1.000 0.000
140  f1  =~  u1     2     est.std  1.061  1.061 0.000
141  f1  =~  u2     2     est.std  1.015  1.015 0.000
142  f1  =~  u3     2     est.std  0.824  0.824 0.000
143  f2  =~  u4     2     est.std  1.510  1.510 0.000
144  f2  =~  u5     2     est.std  1.513  1.513 0.000
145  f2  =~  u6     2     est.std  1.497  1.497 0.000
146  f1   ~  x1     2     est.std  0.374  0.374 0.000
147  f1   ~  x2     2     est.std  0.444  0.444 0.000
148  f1   ~  x3     2     est.std  0.492  0.492 0.000
149  f2   ~  x1     2     est.std  0.517  0.517 0.000
150  f2   ~  x2     2     est.std  0.429  0.429 0.000
151  f2   ~  x3     2     est.std  0.351  0.351 0.000
152  u3   |  t1     2     est.std  0.430  0.430 0.000
153  u3 ~*~  u3     2     est.std  1.000  1.000 0.000
154  u1   |  t1     2     est.std -0.905 -0.905 0.000
155  u2   |  t1     2     est.std -0.536 -0.536 0.000
156  u4   |  t1     2     est.std -0.013 -0.013 0.000
