# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:22:03 2024 
# file:  ex5.16_nox.ULSMV.out 

    lhs  op rhs group        type    lav    mpl  delta
1    f1  =~  u1     1         est  1.000  1.000  0.000
2    f1  =~  u2     1         est  0.963  0.963  0.000
3    f1  =~  u3     1         est  1.006  1.006  0.000
4    f2  =~  u4     1         est  1.000  1.000  0.000
5    f2  =~  u5     1         est  0.998  0.998  0.000
6    f2  =~  u6     1         est  1.011  1.011  0.000
7    u3   |  t1     1         est -0.171 -0.171  0.000
8    u3 ~*~  u3     1         est  1.000  1.000  0.000
9    u1   |  t1     1         est -0.643 -0.643  0.000
10   u2   |  t1     1         est -0.375 -0.375  0.000
11   u4   |  t1     1         est -0.018 -0.017 -0.001
12   u5   |  t1     1         est  0.127  0.126  0.001
13   u6   |  t1     1         est  0.331  0.331  0.000
14   f1  ~~  f1     1         est  0.877  0.877  0.000
15   f2  ~~  f2     1         est  0.847  0.847  0.000
16   f1  ~~  f2     1         est  0.513  0.513  0.000
17   u1 ~*~  u1     1         est  1.000  1.000  0.000
18   u2 ~*~  u2     1         est  1.000  1.000  0.000
19   u4 ~*~  u4     1         est  1.000  1.000  0.000
20   u5 ~*~  u5     1         est  1.000  1.000  0.000
21   u6 ~*~  u6     1         est  1.000  1.000  0.000
22   f1  =~  u1     2         est  1.000  1.000  0.000
23   f1  =~  u2     2         est  0.963  0.963  0.000
24   f1  =~  u3     2         est  0.890  0.890  0.000
25   f2  =~  u4     2         est  1.000  1.000  0.000
26   f2  =~  u5     2         est  0.998  0.998  0.000
27   f2  =~  u6     2         est  1.011  1.011  0.000
28   u3   |  t1     2         est  0.385  0.385  0.000
29   u3 ~*~  u3     2         est  1.000  1.000  0.000
30   u1   |  t1     2         est -0.643 -0.643  0.000
31   u2   |  t1     2         est -0.375 -0.375  0.000
32   u4   |  t1     2         est -0.018 -0.017 -0.001
33   u5   |  t1     2         est  0.127  0.126  0.001
34   u6   |  t1     2         est  0.331  0.331  0.000
35   f1  ~~  f1     2         est  0.614  0.614  0.000
36   f2  ~~  f2     2         est  0.954  0.955 -0.001
37   f1  ~~  f2     2         est  0.458  0.458  0.000
38   u1 ~*~  u1     2         est  1.194  1.194  0.000
39   u2 ~*~  u2     2         est  1.218  1.218  0.000
40   u4 ~*~  u4     2         est  0.966  0.966  0.000
41   u5 ~*~  u5     2         est  0.955  0.955  0.000
42   u6 ~*~  u6     2         est  0.931  0.931  0.000
43   f1  ~1         2         est -0.132 -0.132  0.000
44   f2  ~1         2         est -0.052 -0.052  0.000
45   f1  =~  u1     1          se  0.000  0.000  0.000
46   f1  =~  u2     1          se  0.040  0.040  0.000
47   f1  =~  u3     1          se  0.040  0.040  0.000
48   f2  =~  u4     1          se  0.000  0.000  0.000
49   f2  =~  u5     1          se  0.036  0.036  0.000
50   f2  =~  u6     1          se  0.040  0.040  0.000
51   u3   |  t1     1          se  0.040  0.040  0.000
52   u3 ~*~  u3     1          se  0.000  0.000  0.000
53   u1   |  t1     1          se  0.043  0.043  0.000
54   u2   |  t1     1          se  0.041  0.041  0.000
55   u4   |  t1     1          se  0.039  0.039  0.000
56   u5   |  t1     1          se  0.037  0.037  0.000
57   u6   |  t1     1          se  0.040  0.040  0.000
58   f1  ~~  f1     1          se  0.044  0.044  0.000
59   f2  ~~  f2     1          se  0.040  0.040  0.000
60   f1  ~~  f2     1          se  0.035  0.035  0.000
61   u1 ~*~  u1     1          se  0.000  0.000  0.000
62   u2 ~*~  u2     1          se  0.000  0.000  0.000
63   u4 ~*~  u4     1          se  0.000  0.000  0.000
64   u5 ~*~  u5     1          se  0.000  0.000  0.000
65   u6 ~*~  u6     1          se  0.000  0.000  0.000
66   f1  =~  u1     2          se  0.000  0.000  0.000
67   f1  =~  u2     2          se  0.040  0.040  0.000
68   f1  =~  u3     2          se  0.186  0.186  0.000
69   f2  =~  u4     2          se  0.000  0.000  0.000
70   f2  =~  u5     2          se  0.036  0.036  0.000
71   f2  =~  u6     2          se  0.040  0.040  0.000
72   u3   |  t1     2          se  0.106  0.106  0.000
73   u3 ~*~  u3     2          se  0.000  0.000  0.000
74   u1   |  t1     2          se  0.043  0.043  0.000
75   u2   |  t1     2          se  0.041  0.041  0.000
76   u4   |  t1     2          se  0.039  0.039  0.000
77   u5   |  t1     2          se  0.037  0.037  0.000
78   u6   |  t1     2          se  0.040  0.040  0.000
79   f1  ~~  f1     2          se  0.249  0.249  0.000
80   f2  ~~  f2     2          se  0.283  0.283  0.000
81   f1  ~~  f2     2          se  0.119  0.119  0.000
82   u1 ~*~  u1     2          se  0.232  0.232  0.000
83   u2 ~*~  u2     2          se  0.273  0.273  0.000
84   u4 ~*~  u4     2          se  0.145  0.145  0.000
85   u5 ~*~  u5     2          se  0.143  0.143  0.000
86   u6 ~*~  u6     2          se  0.131  0.131  0.000
87   f1  ~1         2          se  0.092  0.092  0.000
88   f2  ~1         2          se  0.055  0.055  0.000
89   f1  =~  u1     1     est.std  0.937  0.937  0.000
90   f1  =~  u2     1     est.std  0.902  0.902  0.000
91   f1  =~  u3     1     est.std  0.942  0.942  0.000
92   f2  =~  u4     1     est.std  0.920  0.920  0.000
93   f2  =~  u5     1     est.std  0.918  0.918  0.000
94   f2  =~  u6     1     est.std  0.930  0.930  0.000
95   u3   |  t1     1     est.std -0.171 -0.171  0.000
96   u3 ~*~  u3     1     est.std  1.000  1.000  0.000
97   u1   |  t1     1     est.std -0.643 -0.643  0.000
98   u2   |  t1     1     est.std -0.375 -0.375  0.000
99   u4   |  t1     1     est.std -0.018 -0.017 -0.001
100  u5   |  t1     1     est.std  0.127  0.126  0.001
101  u6   |  t1     1     est.std  0.331  0.331  0.000
102  f1  ~~  f1     1     est.std  1.000  1.000  0.000
103  f2  ~~  f2     1     est.std  1.000  1.000  0.000
104  f1  ~~  f2     1     est.std  0.596  0.596  0.000
105  u1 ~*~  u1     1     est.std  1.000  1.000  0.000
106  u2 ~*~  u2     1     est.std  1.000  1.000  0.000
107  u4 ~*~  u4     1     est.std  1.000  1.000  0.000
108  u5 ~*~  u5     1     est.std  1.000  1.000  0.000
109  u6 ~*~  u6     1     est.std  1.000  1.000  0.000
110  f1  =~  u1     2     est.std  0.784  0.784  0.000
111  f1  =~  u2     2     est.std  0.755  0.755  0.000
112  f1  =~  u3     2     est.std  0.698  0.698  0.000
113  f2  =~  u4     2     est.std  0.977  0.977  0.000
114  f2  =~  u5     2     est.std  0.975  0.975  0.000
115  f2  =~  u6     2     est.std  0.987  0.988 -0.001
116  u3   |  t1     2     est.std  0.385  0.385  0.000
117  u3 ~*~  u3     2     est.std  1.000  1.000  0.000
118  u1   |  t1     2     est.std -0.643 -0.643  0.000
119  u2   |  t1     2     est.std -0.375 -0.375  0.000
120  u4   |  t1     2     est.std -0.018 -0.017 -0.001
121  u5   |  t1     2     est.std  0.127  0.126  0.001
122  u6   |  t1     2     est.std  0.331  0.331  0.000
123  f1  ~~  f1     2     est.std  1.000  1.000  0.000
124  f2  ~~  f2     2     est.std  1.000  1.000  0.000
