# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:50:09 2024 
# file:  ex5.16_nox.WLS.out 

    lhs  op rhs group        type    lav    mpl delta
1    f1  =~  u1     1         est  1.000  1.000 0.000
2    f1  =~  u2     1         est  0.960  0.960 0.000
3    f1  =~  u3     1         est  0.992  0.992 0.000
4    f2  =~  u4     1         est  1.000  1.000 0.000
5    f2  =~  u5     1         est  0.997  0.997 0.000
6    f2  =~  u6     1         est  0.991  0.991 0.000
7    u3   |  t1     1         est -0.171 -0.171 0.000
8    u3 ~*~  u3     1         est  1.000  1.000 0.000
9    u1   |  t1     1         est -0.642 -0.642 0.000
10   u2   |  t1     1         est -0.379 -0.379 0.000
11   u4   |  t1     1         est -0.016 -0.016 0.000
12   u5   |  t1     1         est  0.126  0.126 0.000
13   u6   |  t1     1         est  0.328  0.328 0.000
14   f1  ~~  f1     1         est  0.890  0.890 0.000
15   f2  ~~  f2     1         est  0.862  0.862 0.000
16   f1  ~~  f2     1         est  0.526  0.526 0.000
17   u1 ~*~  u1     1         est  1.000  1.000 0.000
18   u2 ~*~  u2     1         est  1.000  1.000 0.000
19   u4 ~*~  u4     1         est  1.000  1.000 0.000
20   u5 ~*~  u5     1         est  1.000  1.000 0.000
21   u6 ~*~  u6     1         est  1.000  1.000 0.000
22   f1  =~  u1     2         est  1.000  1.000 0.000
23   f1  =~  u2     2         est  0.960  0.960 0.000
24   f1  =~  u3     2         est  0.908  0.908 0.000
25   f2  =~  u4     2         est  1.000  1.000 0.000
26   f2  =~  u5     2         est  0.997  0.997 0.000
27   f2  =~  u6     2         est  0.991  0.991 0.000
28   u3   |  t1     2         est  0.375  0.375 0.000
29   u3 ~*~  u3     2         est  1.000  1.000 0.000
30   u1   |  t1     2         est -0.642 -0.642 0.000
31   u2   |  t1     2         est -0.379 -0.379 0.000
32   u4   |  t1     2         est -0.016 -0.016 0.000
33   u5   |  t1     2         est  0.126  0.126 0.000
34   u6   |  t1     2         est  0.328  0.328 0.000
35   f1  ~~  f1     2         est  0.595  0.595 0.000
36   f2  ~~  f2     2         est  1.047  1.047 0.000
37   f1  ~~  f2     2         est  0.477  0.477 0.000
38   u1 ~*~  u1     2         est  1.221  1.220 0.001
39   u2 ~*~  u2     2         est  1.249  1.249 0.000
40   u4 ~*~  u4     2         est  0.912  0.912 0.000
41   u5 ~*~  u5     2         est  0.925  0.925 0.000
42   u6 ~*~  u6     2         est  0.912  0.912 0.000
43   f1  ~1         2         est -0.145 -0.145 0.000
44   f2  ~1         2         est -0.058 -0.058 0.000
45   f1  =~  u1     1          se  0.000  0.000 0.000
46   f1  =~  u2     1          se  0.026  0.026 0.000
47   f1  =~  u3     1          se  0.027  0.027 0.000
48   f2  =~  u4     1          se  0.000  0.000 0.000
49   f2  =~  u5     1          se  0.026  0.026 0.000
50   f2  =~  u6     1          se  0.025  0.025 0.000
51   u3   |  t1     1          se  0.040  0.040 0.000
52   u3 ~*~  u3     1          se  0.000  0.000 0.000
53   u1   |  t1     1          se  0.043  0.043 0.000
54   u2   |  t1     1          se  0.041  0.041 0.000
55   u4   |  t1     1          se  0.039  0.039 0.000
56   u5   |  t1     1          se  0.037  0.037 0.000
57   u6   |  t1     1          se  0.040  0.040 0.000
58   f1  ~~  f1     1          se  0.031  0.031 0.000
59   f2  ~~  f2     1          se  0.029  0.029 0.000
60   f1  ~~  f2     1          se  0.032  0.032 0.000
61   u1 ~*~  u1     1          se  0.000  0.000 0.000
62   u2 ~*~  u2     1          se  0.000  0.000 0.000
63   u4 ~*~  u4     1          se  0.000  0.000 0.000
64   u5 ~*~  u5     1          se  0.000  0.000 0.000
65   u6 ~*~  u6     1          se  0.000  0.000 0.000
66   f1  =~  u1     2          se  0.000  0.000 0.000
67   f1  =~  u2     2          se  0.026  0.026 0.000
68   f1  =~  u3     2          se  0.185  0.185 0.000
69   f2  =~  u4     2          se  0.000  0.000 0.000
70   f2  =~  u5     2          se  0.026  0.026 0.000
71   f2  =~  u6     2          se  0.025  0.025 0.000
72   u3   |  t1     2          se  0.107  0.107 0.000
73   u3 ~*~  u3     2          se  0.000  0.000 0.000
74   u1   |  t1     2          se  0.043  0.043 0.000
75   u2   |  t1     2          se  0.041  0.041 0.000
76   u4   |  t1     2          se  0.039  0.039 0.000
77   u5   |  t1     2          se  0.037  0.037 0.000
78   u6   |  t1     2          se  0.040  0.040 0.000
79   f1  ~~  f1     2          se  0.239  0.239 0.000
80   f2  ~~  f2     2          se  0.309  0.309 0.000
81   f1  ~~  f2     2          se  0.123  0.123 0.000
82   u1 ~*~  u1     2          se  0.237  0.236 0.001
83   u2 ~*~  u2     2          se  0.268  0.267 0.001
84   u4 ~*~  u4     2          se  0.135  0.135 0.000
85   u5 ~*~  u5     2          se  0.136  0.136 0.000
86   u6 ~*~  u6     2          se  0.130  0.129 0.001
87   f1  ~1         2          se  0.089  0.089 0.000
88   f2  ~1         2          se  0.057  0.057 0.000
89   f1  =~  u1     1     est.std  0.943  0.943 0.000
90   f1  =~  u2     1     est.std  0.906  0.906 0.000
91   f1  =~  u3     1     est.std  0.936  0.936 0.000
92   f2  =~  u4     1     est.std  0.928  0.928 0.000
93   f2  =~  u5     1     est.std  0.925  0.925 0.000
94   f2  =~  u6     1     est.std  0.920  0.920 0.000
95   u3   |  t1     1     est.std -0.171 -0.171 0.000
96   u3 ~*~  u3     1     est.std  1.000  1.000 0.000
97   u1   |  t1     1     est.std -0.642 -0.642 0.000
98   u2   |  t1     1     est.std -0.379 -0.379 0.000
99   u4   |  t1     1     est.std -0.016 -0.016 0.000
100  u5   |  t1     1     est.std  0.126  0.126 0.000
101  u6   |  t1     1     est.std  0.328  0.328 0.000
102  f1  ~~  f1     1     est.std  1.000  1.000 0.000
103  f2  ~~  f2     1     est.std  1.000  1.000 0.000
104  f1  ~~  f2     1     est.std  0.601  0.601 0.000
105  u1 ~*~  u1     1     est.std  1.000  1.000 0.000
106  u2 ~*~  u2     1     est.std  1.000  1.000 0.000
107  u4 ~*~  u4     1     est.std  1.000  1.000 0.000
108  u5 ~*~  u5     1     est.std  1.000  1.000 0.000
109  u6 ~*~  u6     1     est.std  1.000  1.000 0.000
110  f1  =~  u1     2     est.std  0.771  0.771 0.000
111  f1  =~  u2     2     est.std  0.740  0.740 0.000
112  f1  =~  u3     2     est.std  0.700  0.700 0.000
113  f2  =~  u4     2     est.std  1.023  1.023 0.000
114  f2  =~  u5     2     est.std  1.020  1.020 0.000
115  f2  =~  u6     2     est.std  1.014  1.014 0.000
116  u3   |  t1     2     est.std  0.375  0.375 0.000
117  u3 ~*~  u3     2     est.std  1.000  1.000 0.000
118  u1   |  t1     2     est.std -0.642 -0.642 0.000
119  u2   |  t1     2     est.std -0.379 -0.379 0.000
120  u4   |  t1     2     est.std -0.016 -0.016 0.000
121  u5   |  t1     2     est.std  0.126  0.126 0.000
122  u6   |  t1     2     est.std  0.328  0.328 0.000
123  f1  ~~  f1     2     est.std  1.000  1.000 0.000
124  f2  ~~  f2     2     est.std  1.000  1.000 0.000
125  f1  ~~  f2     2     est.std  0.604  0.604 0.000
126  u1 ~*~  u1     2     est.std  1.221  1.220 0.001
127  u2 ~*~  u2     2     est.std  1.249  1.249 0.000
128  u4 ~*~  u4     2     est.std  0.912  0.912 0.000
129  u5 ~*~  u5     2     est.std  0.925  0.925 0.000
130  u6 ~*~  u6     2     est.std  0.912  0.912 0.000
131  f1  ~1         2     est.std -0.188 -0.188 0.000
132  f2  ~1         2     est.std -0.056 -0.056 0.000
133  f1  =~  u1     1 est.std.all  0.943  0.943 0.000
134  f1  =~  u2     1 est.std.all  0.906  0.906 0.000
135  f1  =~  u3     1 est.std.all  0.936  0.936 0.000
136  f2  =~  u4     1 est.std.all  0.928  0.928 0.000
137  f2  =~  u5     1 est.std.all  0.925  0.925 0.000
138  f2  =~  u6     1 est.std.all  0.920  0.920 0.000
139  u3   |  t1     1 est.std.all -0.171 -0.171 0.000
140  u3 ~*~  u3     1 est.std.all  1.000  1.000 0.000
141  u1   |  t1     1 est.std.all -0.642 -0.642 0.000
142  u2   |  t1     1 est.std.all -0.379 -0.379 0.000
143  u4   |  t1     1 est.std.all -0.016 -0.016 0.000
144  u5   |  t1     1 est.std.all  0.126  0.126 0.000
145  u6   |  t1     1 est.std.all  0.328  0.328 0.000
146  f1  ~~  f1     1 est.std.all  1.000  1.000 0.000
147  f2  ~~  f2     1 est.std.all  1.000  1.000 0.000
148  f1  ~~  f2     1 est.std.all  0.601  0.601 0.000
149  u1 ~*~  u1     1 est.std.all  1.000  1.000 0.000
150  u2 ~*~  u2     1 est.std.all  1.000  1.000 0.000
151  u4 ~*~  u4     1 est.std.all  1.000  1.000 0.000
152  u5 ~*~  u5     1 est.std.all  1.000  1.000 0.000
153  u6 ~*~  u6     1 est.std.all  1.000  1.000 0.000
154  f1  =~  u1     2 est.std.all  0.941  0.941 0.000
155  f1  =~  u2     2 est.std.all  0.925  0.925 0.000
156  f1  =~  u3     2 est.std.all  0.700  0.700 0.000
157  f2  =~  u4     2 est.std.all  0.933  0.933 0.000
158  f2  =~  u5     2 est.std.all  0.944  0.944 0.000
159  f2  =~  u6     2 est.std.all  0.924  0.924 0.000
160  u3   |  t1     2 est.std.all  0.375  0.375 0.000
161  u3 ~*~  u3     2 est.std.all  1.000  1.000 0.000
162  u1   |  t1     2 est.std.all -0.783 -0.783 0.000
163  u2   |  t1     2 est.std.all -0.474 -0.474 0.000
164  u4   |  t1     2 est.std.all -0.015 -0.015 0.000
165  u5   |  t1     2 est.std.all  0.117  0.117 0.000
166  u6   |  t1     2 est.std.all  0.299  0.299 0.000
167  f1  ~~  f1     2 est.std.all  1.000  1.000 0.000
168  f2  ~~  f2     2 est.std.all  1.000  1.000 0.000
169  f1  ~~  f2     2 est.std.all  0.604  0.604 0.000
170  u1 ~*~  u1     2 est.std.all  1.000  1.000 0.000
171  u2 ~*~  u2     2 est.std.all  1.000  1.000 0.000
172  u4 ~*~  u4     2 est.std.all  1.000  1.000 0.000
173  u5 ~*~  u5     2 est.std.all  1.000  1.000 0.000
174  u6 ~*~  u6     2 est.std.all  1.000  1.000 0.000
175  f1  ~1         2 est.std.all -0.188 -0.188 0.000
176  f2  ~1         2 est.std.all -0.056 -0.056 0.000
177  f1  =~  u1     1 est.std.nox  0.943  0.943 0.000
178  f1  =~  u2     1 est.std.nox  0.906  0.906 0.000
179  f1  =~  u3     1 est.std.nox  0.936  0.936 0.000
180  f2  =~  u4     1 est.std.nox  0.928  0.928 0.000
181  f2  =~  u5     1 est.std.nox  0.925  0.925 0.000
182  f2  =~  u6     1 est.std.nox  0.920  0.920 0.000
183  u3   |  t1     1 est.std.nox -0.171 -0.171 0.000
184  u3 ~*~  u3     1 est.std.nox  1.000  1.000 0.000
