# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:22:09 2024 
# file:  ex5.16_nox.WLSMV.out 

    lhs  op rhs group        type    lav    mpl delta
1    f1  =~  u1     1         est  1.000  1.000 0.000
2    f1  =~  u2     1         est  0.958  0.958 0.000
3    f1  =~  u3     1         est  0.993  0.993 0.000
4    f2  =~  u4     1         est  1.000  1.000 0.000
5    f2  =~  u5     1         est  0.999  0.999 0.000
6    f2  =~  u6     1         est  0.993  0.993 0.000
7    u3   |  t1     1         est -0.171 -0.171 0.000
8    u3 ~*~  u3     1         est  1.000  1.000 0.000
9    u1   |  t1     1         est -0.643 -0.643 0.000
10   u2   |  t1     1         est -0.375 -0.375 0.000
11   u4   |  t1     1         est -0.018 -0.018 0.000
12   u5   |  t1     1         est  0.127  0.127 0.000
13   u6   |  t1     1         est  0.331  0.331 0.000
14   f1  ~~  f1     1         est  0.888  0.888 0.000
15   f2  ~~  f2     1         est  0.857  0.857 0.000
16   f1  ~~  f2     1         est  0.520  0.520 0.000
17   u1 ~*~  u1     1         est  1.000  1.000 0.000
18   u2 ~*~  u2     1         est  1.000  1.000 0.000
19   u4 ~*~  u4     1         est  1.000  1.000 0.000
20   u5 ~*~  u5     1         est  1.000  1.000 0.000
21   u6 ~*~  u6     1         est  1.000  1.000 0.000
22   f1  =~  u1     2         est  1.000  1.000 0.000
23   f1  =~  u2     2         est  0.958  0.958 0.000
24   f1  =~  u3     2         est  0.891  0.891 0.000
25   f2  =~  u4     2         est  1.000  1.000 0.000
26   f2  =~  u5     2         est  0.999  0.999 0.000
27   f2  =~  u6     2         est  0.993  0.993 0.000
28   u3   |  t1     2         est  0.382  0.382 0.000
29   u3 ~*~  u3     2         est  1.000  1.000 0.000
30   u1   |  t1     2         est -0.643 -0.643 0.000
31   u2   |  t1     2         est -0.375 -0.375 0.000
32   u4   |  t1     2         est -0.018 -0.018 0.000
33   u5   |  t1     2         est  0.127  0.127 0.000
34   u6   |  t1     2         est  0.331  0.331 0.000
35   f1  ~~  f1     2         est  0.610  0.610 0.000
36   f2  ~~  f2     2         est  1.005  1.005 0.000
