# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:23:05 2024 
# file:  HS.multi.nomean.GLS.out 

        lhs op     rhs group        type   lav   mpl delta
1    visual =~      x1     1         est 1.000 1.000 0.000
2    visual =~      x2     1         est 0.274 0.274 0.000
3    visual =~      x3     1         est 0.407 0.407 0.000
4   textual =~      x4     1         est 1.000 1.000 0.000
5   textual =~      x5     1         est 1.187 1.187 0.000
6   textual =~      x6     1         est 0.863 0.863 0.000
7     speed =~      x7     1         est 1.000 1.000 0.000
8     speed =~      x8     1         est 0.834 0.834 0.000
9     speed =~      x9     1         est 0.807 0.807 0.000
10       x1 ~~      x1     1         est 0.349 0.349 0.000
11       x2 ~~      x2     1         est 1.144 1.144 0.000
12       x3 ~~      x3     1         est 0.829 0.829 0.000
13       x4 ~~      x4     1         est 0.354 0.354 0.000
14       x5 ~~      x5     1         est 0.319 0.319 0.000
15       x6 ~~      x6     1         est 0.276 0.276 0.000
16       x7 ~~      x7     1         est 0.518 0.518 0.000
17       x8 ~~      x8     1         est 0.581 0.581 0.000
18       x9 ~~      x9     1         est 0.528 0.528 0.000
19   visual ~~  visual     1         est 0.750 0.750 0.000
20  textual ~~ textual     1         est 0.922 0.922 0.000
21    speed ~~   speed     1         est 0.479 0.479 0.000
22   visual ~~ textual     1         est 0.523 0.523 0.000
23   visual ~~   speed     1         est 0.138 0.138 0.000
24  textual ~~   speed     1         est 0.236 0.236 0.000
25   visual =~      x1     2         est 1.000 1.000 0.000
26   visual =~      x2     2         est 0.709 0.709 0.000
27   visual =~      x3     2         est 0.886 0.886 0.000
28  textual =~      x4     2         est 1.000 1.000 0.000
29  textual =~      x5     2         est 1.023 1.023 0.000
30  textual =~      x6     2         est 0.988 0.988 0.000
31    speed =~      x7     2         est 1.000 1.000 0.000
32    speed =~      x8     2         est 1.184 1.184 0.000
33    speed =~      x9     2         est 1.101 1.101 0.000
34       x1 ~~      x1     2         est 0.619 0.619 0.000
35       x2 ~~      x2     2         est 0.879 0.879 0.000
36       x3 ~~      x3     2         est 0.550 0.550 0.000
37       x4 ~~      x4     2         est 0.306 0.306 0.000
38       x5 ~~      x5     2         est 0.384 0.384 0.000
39       x6 ~~      x6     2         est 0.401 0.401 0.000
40       x7 ~~      x7     2         est 0.431 0.431 0.000
41       x8 ~~      x8     2         est 0.361 0.361 0.000
42       x9 ~~      x9     2         est 0.388 0.388 0.000
43   visual ~~  visual     2         est 0.470 0.470 0.000
44  textual ~~ textual     2         est 0.820 0.820 0.000
45    speed ~~   speed     2         est 0.464 0.464 0.000
46   visual ~~ textual     2         est 0.377 0.377 0.000
47   visual ~~   speed     2         est 0.337 0.337 0.000
48  textual ~~   speed     2         est 0.242 0.242 0.000
49   visual =~      x1     1          se 0.000 0.000 0.000
50   visual =~      x2     1          se 0.145 0.145 0.000
51   visual =~      x3     1          se 0.151 0.151 0.000
52  textual =~      x4     1          se 0.000 0.000 0.000
53  textual =~      x5     1          se 0.098 0.097 0.001
54  textual =~      x6     1          se 0.074 0.074 0.000
55    speed =~      x7     1          se 0.000 0.000 0.000
56    speed =~      x8     1          se 0.187 0.187 0.000
57    speed =~      x9     1          se 0.194 0.194 0.000
58       x1 ~~      x1     1          se 0.247 0.247 0.000
59       x2 ~~      x2     1          se 0.142 0.142 0.000
60       x3 ~~      x3     1          se 0.114 0.114 0.000
61       x4 ~~      x4     1          se 0.064 0.064 0.000
62       x5 ~~      x5     1          se 0.082 0.082 0.000
63       x6 ~~      x6     1          se 0.048 0.048 0.000
64       x7 ~~      x7     1          se 0.125 0.125 0.000
65       x8 ~~      x8     1          se 0.095 0.095 0.000
66       x9 ~~      x9     1          se 0.097 0.097 0.000
67   visual ~~  visual     1          se 0.281 0.281 0.000
68  textual ~~ textual     1          se 0.150 0.150 0.000
69    speed ~~   speed     1          se 0.146 0.146 0.000
70   visual ~~ textual     1          se 0.109 0.109 0.000
71   visual ~~   speed     1          se 0.081 0.081 0.000
72  textual ~~   speed     1          se 0.080 0.080 0.000
73   visual =~      x1     2          se 0.000 0.000 0.000
74   visual =~      x2     2          se 0.170 0.170 0.000
75   visual =~      x3     2          se 0.168 0.168 0.000
76  textual =~      x4     2          se 0.000 0.000 0.000
77  textual =~      x5     2          se 0.096 0.096 0.000
78  textual =~      x6     2          se 0.093 0.093 0.000
79    speed =~      x7     2          se 0.000 0.000 0.000
80    speed =~      x8     2          se 0.165 0.165 0.000
81    speed =~      x9     2          se 0.171 0.171 0.000
82       x1 ~~      x1     2          se 0.111 0.111 0.000
83       x2 ~~      x2     2          se 0.119 0.119 0.000
84       x3 ~~      x3     2          se 0.091 0.091 0.000
85       x4 ~~      x4     2          se 0.062 0.062 0.000
86       x5 ~~      x5     2          se 0.071 0.071 0.000
87       x6 ~~      x6     2          se 0.069 0.069 0.000
88       x7 ~~      x7     2          se 0.085 0.085 0.000
89       x8 ~~      x8     2          se 0.082 0.082 0.000
90       x9 ~~      x9     2          se 0.077 0.077 0.000
91   visual ~~  visual     2          se 0.142 0.142 0.000
92  textual ~~ textual     2          se 0.145 0.145 0.000
93    speed ~~   speed     2          se 0.117 0.117 0.000
94   visual ~~ textual     2          se 0.095 0.095 0.000
95   visual ~~   speed     2          se 0.076 0.076 0.000
96  textual ~~   speed     2          se 0.074 0.074 0.000
97   visual =~      x1     1     est.std 0.866 0.866 0.000
98   visual =~      x2     1     est.std 0.237 0.237 0.000
99   visual =~      x3     1     est.std 0.352 0.352 0.000
100 textual =~      x4     1     est.std 0.960 0.960 0.000
101 textual =~      x5     1     est.std 1.140 1.140 0.000
102 textual =~      x6     1     est.std 0.828 0.828 0.000
103   speed =~      x7     1     est.std 0.692 0.692 0.000
104   speed =~      x8     1     est.std 0.577 0.577 0.000
105   speed =~      x9     1     est.std 0.558 0.558 0.000
106      x1 ~~      x1     1     est.std 0.349 0.349 0.000
107      x2 ~~      x2     1     est.std 1.144 1.144 0.000
108      x3 ~~      x3     1     est.std 0.829 0.829 0.000
109      x4 ~~      x4     1     est.std 0.354 0.354 0.000
110      x5 ~~      x5     1     est.std 0.319 0.319 0.000
111      x6 ~~      x6     1     est.std 0.276 0.276 0.000
112      x7 ~~      x7     1     est.std 0.518 0.518 0.000
113      x8 ~~      x8     1     est.std 0.581 0.581 0.000
114      x9 ~~      x9     1     est.std 0.528 0.528 0.000
115  visual ~~  visual     1     est.std 1.000 1.000 0.000
116 textual ~~ textual     1     est.std 1.000 1.000 0.000
117   speed ~~   speed     1     est.std 1.000 1.000 0.000
118  visual ~~ textual     1     est.std 0.629 0.629 0.000
119  visual ~~   speed     1     est.std 0.230 0.230 0.000
120 textual ~~   speed     1     est.std 0.355 0.355 0.000
121  visual =~      x1     2     est.std 0.686 0.686 0.000
122  visual =~      x2     2     est.std 0.486 0.486 0.000
123  visual =~      x3     2     est.std 0.607 0.607 0.000
124 textual =~      x4     2     est.std 0.906 0.906 0.000
125 textual =~      x5     2     est.std 0.927 0.927 0.000
126 textual =~      x6     2     est.std 0.895 0.895 0.000
127   speed =~      x7     2     est.std 0.681 0.681 0.000
128   speed =~      x8     2     est.std 0.806 0.806 0.000
129   speed =~      x9     2     est.std 0.749 0.749 0.000
130      x1 ~~      x1     2     est.std 0.619 0.619 0.000
131      x2 ~~      x2     2     est.std 0.879 0.879 0.000
132      x3 ~~      x3     2     est.std 0.550 0.550 0.000
133      x4 ~~      x4     2     est.std 0.306 0.306 0.000
134      x5 ~~      x5     2     est.std 0.384 0.384 0.000
135      x6 ~~      x6     2     est.std 0.401 0.401 0.000
136      x7 ~~      x7     2     est.std 0.431 0.431 0.000
137      x8 ~~      x8     2     est.std 0.361 0.361 0.000
138      x9 ~~      x9     2     est.std 0.388 0.388 0.000
139  visual ~~  visual     2     est.std 1.000 1.000 0.000
140 textual ~~ textual     2     est.std 1.000 1.000 0.000
141   speed ~~   speed     2     est.std 1.000 1.000 0.000
142  visual ~~ textual     2     est.std 0.607 0.607 0.000
143  visual ~~   speed     2     est.std 0.722 0.722 0.000
144 textual ~~   speed     2     est.std 0.392 0.392 0.000
145  visual =~      x1     1 est.std.all 0.826 0.826 0.000
146  visual =~      x2     1 est.std.all 0.216 0.216 0.000
147  visual =~      x3     1 est.std.all 0.361 0.361 0.000
148 textual =~      x4     1 est.std.all 0.850 0.850 0.000
149 textual =~      x5     1 est.std.all 0.896 0.896 0.000
150 textual =~      x6     1 est.std.all 0.844 0.844 0.000
151   speed =~      x7     1 est.std.all 0.693 0.693 0.000
152   speed =~      x8     1 est.std.all 0.603 0.603 0.000
153   speed =~      x9     1 est.std.all 0.609 0.609 0.000
154      x1 ~~      x1     1 est.std.all 0.317 0.317 0.000
155      x2 ~~      x2     1 est.std.all 0.953 0.953 0.000
156      x3 ~~      x3     1 est.std.all 0.870 0.870 0.000
157      x4 ~~      x4     1 est.std.all 0.277 0.277 0.000
158      x5 ~~      x5     1 est.std.all 0.197 0.197 0.000
159      x6 ~~      x6     1 est.std.all 0.287 0.287 0.000
160      x7 ~~      x7     1 est.std.all 0.520 0.520 0.000
161      x8 ~~      x8     1 est.std.all 0.636 0.636 0.000
162      x9 ~~      x9     1 est.std.all 0.629 0.629 0.000
163  visual ~~  visual     1 est.std.all 1.000 1.000 0.000
164 textual ~~ textual     1 est.std.all 1.000 1.000 0.000
165   speed ~~   speed     1 est.std.all 1.000 1.000 0.000
166  visual ~~ textual     1 est.std.all 0.629 0.629 0.000
167  visual ~~   speed     1 est.std.all 0.230 0.230 0.000
168 textual ~~   speed     1 est.std.all 0.355 0.355 0.000
169  visual =~      x1     2 est.std.all 0.657 0.657 0.000
170  visual =~      x2     2 est.std.all 0.460 0.460 0.000
171  visual =~      x3     2 est.std.all 0.634 0.634 0.000
172 textual =~      x4     2 est.std.all 0.854 0.854 0.000
173 textual =~      x5     2 est.std.all 0.831 0.831 0.000
174 textual =~      x6     2 est.std.all 0.816 0.816 0.000
175   speed =~      x7     2 est.std.all 0.720 0.720 0.000
176   speed =~      x8     2 est.std.all 0.802 0.802 0.000
177   speed =~      x9     2 est.std.all 0.769 0.769 0.000
178      x1 ~~      x1     2 est.std.all 0.568 0.568 0.000
179      x2 ~~      x2     2 est.std.all 0.788 0.788 0.000
180      x3 ~~      x3     2 est.std.all 0.599 0.599 0.000
181      x4 ~~      x4     2 est.std.all 0.272 0.272 0.000
182      x5 ~~      x5     2 est.std.all 0.309 0.309 0.000
183      x6 ~~      x6     2 est.std.all 0.333 0.333 0.000
184      x7 ~~      x7     2 est.std.all 0.482 0.482 0.000
185      x8 ~~      x8     2 est.std.all 0.357 0.357 0.000
186      x9 ~~      x9     2 est.std.all 0.409 0.409 0.000
187  visual ~~  visual     2 est.std.all 1.000 1.000 0.000
188 textual ~~ textual     2 est.std.all 1.000 1.000 0.000
189   speed ~~   speed     2 est.std.all 1.000 1.000 0.000
190  visual ~~ textual     2 est.std.all 0.607 0.607 0.000
191  visual ~~   speed     2 est.std.all 0.722 0.722 0.000
192 textual ~~   speed     2 est.std.all 0.392 0.392 0.000
193  visual =~      x1     1 est.std.nox 0.826 0.826 0.000
194  visual =~      x2     1 est.std.nox 0.216 0.216 0.000
195  visual =~      x3     1 est.std.nox 0.361 0.361 0.000
196 textual =~      x4     1 est.std.nox 0.850 0.850 0.000
197 textual =~      x5     1 est.std.nox 0.896 0.896 0.000
198 textual =~      x6     1 est.std.nox 0.844 0.844 0.000
199   speed =~      x7     1 est.std.nox 0.693 0.693 0.000
200   speed =~      x8     1 est.std.nox 0.603 0.603 0.000
201   speed =~      x9     1 est.std.nox 0.609 0.609 0.000
202      x1 ~~      x1     1 est.std.nox 0.317 0.317 0.000
203      x2 ~~      x2     1 est.std.nox 0.953 0.953 0.000
204      x3 ~~      x3     1 est.std.nox 0.870 0.870 0.000
205      x4 ~~      x4     1 est.std.nox 0.277 0.277 0.000
206      x5 ~~      x5     1 est.std.nox 0.197 0.197 0.000
207      x6 ~~      x6     1 est.std.nox 0.287 0.287 0.000
208      x7 ~~      x7     1 est.std.nox 0.520 0.520 0.000
209      x8 ~~      x8     1 est.std.nox 0.636 0.636 0.000
210      x9 ~~      x9     1 est.std.nox 0.629 0.629 0.000
211  visual ~~  visual     1 est.std.nox 1.000 1.000 0.000
212 textual ~~ textual     1 est.std.nox 1.000 1.000 0.000
213   speed ~~   speed     1 est.std.nox 1.000 1.000 0.000
214  visual ~~ textual     1 est.std.nox 0.629 0.629 0.000
215  visual ~~   speed     1 est.std.nox 0.230 0.230 0.000
216 textual ~~   speed     1 est.std.nox 0.355 0.355 0.000
217  visual =~      x1     2 est.std.nox 0.657 0.657 0.000
218  visual =~      x2     2 est.std.nox 0.460 0.460 0.000
219  visual =~      x3     2 est.std.nox 0.634 0.634 0.000
220 textual =~      x4     2 est.std.nox 0.854 0.854 0.000
221 textual =~      x5     2 est.std.nox 0.831 0.831 0.000
222 textual =~      x6     2 est.std.nox 0.816 0.816 0.000
223   speed =~      x7     2 est.std.nox 0.720 0.720 0.000
224   speed =~      x8     2 est.std.nox 0.802 0.802 0.000
225   speed =~      x9     2 est.std.nox 0.769 0.769 0.000
226      x1 ~~      x1     2 est.std.nox 0.568 0.568 0.000
227      x2 ~~      x2     2 est.std.nox 0.788 0.788 0.000
228      x3 ~~      x3     2 est.std.nox 0.599 0.599 0.000
229      x4 ~~      x4     2 est.std.nox 0.272 0.272 0.000
230      x5 ~~      x5     2 est.std.nox 0.309 0.309 0.000
231      x6 ~~      x6     2 est.std.nox 0.333 0.333 0.000
232      x7 ~~      x7     2 est.std.nox 0.482 0.482 0.000
233      x8 ~~      x8     2 est.std.nox 0.357 0.357 0.000
234      x9 ~~      x9     2 est.std.nox 0.409 0.409 0.000
235  visual ~~  visual     2 est.std.nox 1.000 1.000 0.000
236 textual ~~ textual     2 est.std.nox 1.000 1.000 0.000
237   speed ~~   speed     2 est.std.nox 1.000 1.000 0.000
238  visual ~~ textual     2 est.std.nox 0.607 0.607 0.000
239  visual ~~   speed     2 est.std.nox 0.722 0.722 0.000
240 textual ~~   speed     2 est.std.nox 0.392 0.392 0.000

                     fit     lav     mpl delta
1                   npar  42.000  42.000 0.000
2                   fmin   0.162      NA    NA
3                  chisq  97.480  97.480 0.000
4                     df  48.000  48.000 0.000
5                 pvalue   0.000   0.000 0.000
6         baseline.chisq 288.021 288.021 0.000
7            baseline.df  72.000  72.000 0.000
8        baseline.pvalue   0.000   0.000 0.000
9                    cfi   0.771   0.771 0.000
10                   tli   0.656   0.656 0.000
11                  nnfi   0.656      NA    NA
12                   rfi   0.492      NA    NA
13                   nfi   0.662      NA    NA
14                  pnfi   0.441      NA    NA
15                   ifi   0.794      NA    NA
16                   rni   0.771      NA    NA
17                 rmsea   0.083   0.083 0.000
18        rmsea.ci.lower   0.059   0.059 0.000
19        rmsea.ci.upper   0.107   0.106 0.001
20        rmsea.ci.level   0.900      NA    NA
21          rmsea.pvalue   0.014   0.014 0.000
22        rmsea.close.h0   0.050      NA    NA
23 rmsea.notclose.pvalue   0.604      NA    NA
24     rmsea.notclose.h0   0.080      NA    NA
25                   rmr   0.136      NA    NA
26            rmr_nomean   0.136      NA    NA
27                  srmr   0.108   0.108 0.000
28          srmr_bentler   0.108      NA    NA
29   srmr_bentler_nomean   0.108      NA    NA
30                  crmr   0.099      NA    NA
31           crmr_nomean   0.099      NA    NA
32            srmr_mplus   0.109      NA    NA
33     srmr_mplus_nomean   0.109      NA    NA
34                 cn_05 200.898      NA    NA
35                 cn_01 227.007      NA    NA
36                   gfi   0.928      NA    NA
37                  agfi   0.864      NA    NA
38                  pgfi   0.495      NA    NA
39                   mfi   0.921      NA    NA
40                  ecvi   0.607      NA    NA
