# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:23:08 2024 
# file:  HS.multi.nomean.ML.expected.out 

        lhs op     rhs group        type   lav   mpl delta
1    visual =~      x1     1         est 1.000 1.000     0
2    visual =~      x2     1         est 0.394 0.394     0
3    visual =~      x3     1         est 0.570 0.570     0
4   textual =~      x4     1         est 1.000 1.000     0
5   textual =~      x5     1         est 1.183 1.183     0
6   textual =~      x6     1         est 0.875 0.875     0
7     speed =~      x7     1         est 1.000 1.000     0
8     speed =~      x8     1         est 1.125 1.125     0
9     speed =~      x9     1         est 0.922 0.922     0
10       x1 ~~      x1     1         est 0.298 0.298     0
11       x2 ~~      x2     1         est 1.334 1.334     0
12       x3 ~~      x3     1         est 0.989 0.989     0
13       x4 ~~      x4     1         est 0.425 0.425     0
14       x5 ~~      x5     1         est 0.456 0.456     0
15       x6 ~~      x6     1         est 0.290 0.290     0
16       x7 ~~      x7     1         est 0.820 0.820     0
17       x8 ~~      x8     1         est 0.510 0.510     0
18       x9 ~~      x9     1         est 0.680 0.680     0
19   visual ~~  visual     1         est 1.097 1.097     0
20  textual ~~ textual     1         est 0.894 0.894     0
21    speed ~~   speed     1         est 0.350 0.350     0
22   visual ~~ textual     1         est 0.479 0.479     0
23   visual ~~   speed     1         est 0.185 0.185     0
24  textual ~~   speed     1         est 0.182 0.182     0
25   visual =~      x1     2         est 1.000 1.000     0
26   visual =~      x2     2         est 0.736 0.736     0
27   visual =~      x3     2         est 0.925 0.925     0
28  textual =~      x4     2         est 1.000 1.000     0
29  textual =~      x5     2         est 0.990 0.990     0
30  textual =~      x6     2         est 0.963 0.963     0
31    speed =~      x7     2         est 1.000 1.000     0
32    speed =~      x8     2         est 1.226 1.226     0
33    speed =~      x9     2         est 1.058 1.058     0
34       x1 ~~      x1     2         est 0.715 0.715     0
35       x2 ~~      x2     2         est 0.899 0.899     0
36       x3 ~~      x3     2         est 0.557 0.557     0
37       x4 ~~      x4     2         est 0.315 0.315     0
38       x5 ~~      x5     2         est 0.419 0.419     0
39       x6 ~~      x6     2         est 0.406 0.406     0
40       x7 ~~      x7     2         est 0.600 0.600     0
41       x8 ~~      x8     2         est 0.401 0.401     0
42       x9 ~~      x9     2         est 0.535 0.535     0
43   visual ~~  visual     2         est 0.604 0.604     0
44  textual ~~ textual     2         est 0.942 0.942     0
45    speed ~~   speed     2         est 0.461 0.461     0
46   visual ~~ textual     2         est 0.408 0.408     0
47   visual ~~   speed     2         est 0.276 0.276     0
48  textual ~~   speed     2         est 0.222 0.222     0
49   visual =~      x1     1          se 0.000 0.000     0
50   visual =~      x2     1          se 0.122 0.122     0
51   visual =~      x3     1          se 0.140 0.140     0
52  textual =~      x4     1          se 0.000 0.000     0
53  textual =~      x5     1          se 0.102 0.102     0
54  textual =~      x6     1          se 0.077 0.077     0
55    speed =~      x7     1          se 0.000 0.000     0
56    speed =~      x8     1          se 0.277 0.277     0
57    speed =~      x9     1          se 0.225 0.225     0
58       x1 ~~      x1     1          se 0.232 0.232     0
59       x2 ~~      x2     1          se 0.158 0.158     0
60       x3 ~~      x3     1          se 0.136 0.136     0
61       x4 ~~      x4     1          se 0.069 0.069     0
62       x5 ~~      x5     1          se 0.086 0.086     0
63       x6 ~~      x6     1          se 0.050 0.050     0
64       x7 ~~      x7     1          se 0.125 0.125     0
65       x8 ~~      x8     1          se 0.116 0.116     0
66       x9 ~~      x9     1          se 0.104 0.104     0
67   visual ~~  visual     1          se 0.276 0.276     0
68  textual ~~ textual     1          se 0.150 0.150     0
69    speed ~~   speed     1          se 0.126 0.126     0
70   visual ~~ textual     1          se 0.106 0.106     0
71   visual ~~   speed     1          se 0.077 0.077     0
72  textual ~~   speed     1          se 0.069 0.069     0
73   visual =~      x1     2          se 0.000 0.000     0
74   visual =~      x2     2          se 0.155 0.155     0
75   visual =~      x3     2          se 0.166 0.166     0
76  textual =~      x4     2          se 0.000 0.000     0
77  textual =~      x5     2          se 0.087 0.087     0
78  textual =~      x6     2          se 0.085 0.085     0
79    speed =~      x7     2          se 0.000 0.000     0
80    speed =~      x8     2          se 0.187 0.187     0
81    speed =~      x9     2          se 0.165 0.165     0
82       x1 ~~      x1     2          se 0.126 0.126     0
