# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:23:09 2024 
# file:  HS.multi.nomean.WLS.out 

        lhs op     rhs group        type   lav   mpl  delta
1    visual =~      x1     1         est 1.000 1.000  0.000
2    visual =~      x2     1         est 0.180 0.180  0.000
3    visual =~      x3     1         est 0.410 0.410  0.000
4   textual =~      x4     1         est 1.000 1.000  0.000
5   textual =~      x5     1         est 1.026 1.026  0.000
6   textual =~      x6     1         est 0.800 0.800  0.000
7     speed =~      x7     1         est 1.000 1.000  0.000
8     speed =~      x8     1         est 0.843 0.843  0.000
9     speed =~      x9     1         est 0.888 0.888  0.000
10       x1 ~~      x1     1         est 0.118 0.116  0.002
11       x2 ~~      x2     1         est 1.149 1.125  0.024
12       x3 ~~      x3     1         est 0.962 0.942  0.020
13       x4 ~~      x4     1         est 0.296 0.290  0.006
14       x5 ~~      x5     1         est 0.356 0.348  0.008
15       x6 ~~      x6     1         est 0.269 0.264  0.005
16       x7 ~~      x7     1         est 0.554 0.542  0.012
17       x8 ~~      x8     1         est 0.586 0.573  0.013
18       x9 ~~      x9     1         est 0.450 0.440  0.010
19   visual ~~  visual     1         est 1.012 0.990  0.022
20  textual ~~ textual     1         est 1.090 1.067  0.023
21    speed ~~   speed     1         est 0.450 0.441  0.009
22   visual ~~ textual     1         est 0.616 0.603  0.013
23   visual ~~   speed     1         est 0.156 0.153  0.003
24  textual ~~   speed     1         est 0.213 0.208  0.005
25   visual =~      x1     2         est 1.000 1.000  0.000
26   visual =~      x2     2         est 0.438 0.438  0.000
27   visual =~      x3     2         est 0.763 0.763  0.000
28  textual =~      x4     2         est 1.000 1.000  0.000
29  textual =~      x5     2         est 1.070 1.070  0.000
30  textual =~      x6     2         est 1.022 1.022  0.000
31    speed =~      x7     2         est 1.000 1.000  0.000
32    speed =~      x8     2         est 1.118 1.118  0.000
33    speed =~      x9     2         est 1.162 1.162  0.000
34       x1 ~~      x1     2         est 0.513 0.516 -0.003
35       x2 ~~      x2     2         est 0.892 0.897 -0.005
36       x3 ~~      x3     2         est 0.658 0.662 -0.004
37       x4 ~~      x4     2         est 0.273 0.274 -0.001
38       x5 ~~      x5     2         est 0.374 0.376 -0.002
39       x6 ~~      x6     2         est 0.318 0.320 -0.002
40       x7 ~~      x7     2         est 0.566 0.570 -0.004
41       x8 ~~      x8     2         est 0.189 0.190 -0.001
42       x9 ~~      x9     2         est 0.360 0.362 -0.002
43   visual ~~  visual     2         est 0.539 0.542 -0.003
44  textual ~~ textual     2         est 0.883 0.888 -0.005
45    speed ~~   speed     2         est 0.504 0.507 -0.003
46   visual ~~ textual     2         est 0.620 0.624 -0.004
47   visual ~~   speed     2         est 0.355 0.357 -0.002
48  textual ~~   speed     2         est 0.406 0.408 -0.002
49   visual =~      x1     1          se 0.000 0.000  0.000
50   visual =~      x2     1          se 0.099 0.109 -0.010
51   visual =~      x3     1          se 0.128 0.141 -0.013
52  textual =~      x4     1          se 0.000 0.000  0.000
53  textual =~      x5     1          se 0.067 0.074 -0.007
54  textual =~      x6     1          se 0.065 0.072 -0.007
55    speed =~      x7     1          se 0.000 0.000  0.000
56    speed =~      x8     1          se 0.157 0.173 -0.016
57    speed =~      x9     1          se 0.164 0.180 -0.016
58       x1 ~~      x1     1          se 0.297 0.320 -0.023
59       x2 ~~      x2     1          se 0.123 0.134 -0.011
60       x3 ~~      x3     1          se 0.089 0.098 -0.009
61       x4 ~~      x4     1          se 0.062 0.067 -0.005
62       x5 ~~      x5     1          se 0.062 0.067 -0.005
63       x6 ~~      x6     1          se 0.044 0.048 -0.004
64       x7 ~~      x7     1          se 0.101 0.109 -0.008
65       x8 ~~      x8     1          se 0.072 0.078 -0.006
66       x9 ~~      x9     1          se 0.090 0.097 -0.007
67   visual ~~  visual     1          se 0.347 0.374 -0.027
68  textual ~~ textual     1          se 0.142 0.155 -0.013
69    speed ~~   speed     1          se 0.115 0.125 -0.010
70   visual ~~ textual     1          se 0.105 0.114 -0.009
71   visual ~~   speed     1          se 0.069 0.074 -0.005
72  textual ~~   speed     1          se 0.072 0.078 -0.006
73   visual =~      x1     2          se 0.000 0.000  0.000
74   visual =~      x2     2          se 0.088 0.087  0.001
75   visual =~      x3     2          se 0.102 0.101  0.001
76  textual =~      x4     2          se 0.000 0.000  0.000
77  textual =~      x5     2          se 0.075 0.074  0.001
78  textual =~      x6     2          se 0.066 0.066  0.000
79    speed =~      x7     2          se 0.000 0.000  0.000
80    speed =~      x8     2          se 0.104 0.104  0.000
81    speed =~      x9     2          se 0.115 0.114  0.001
82       x1 ~~      x1     2          se 0.121 0.121  0.000
83       x2 ~~      x2     2          se 0.115 0.114  0.001
84       x3 ~~      x3     2          se 0.082 0.082  0.000
85       x4 ~~      x4     2          se 0.055 0.055  0.000
86       x5 ~~      x5     2          se 0.056 0.056  0.000
87       x6 ~~      x6     2          se 0.065 0.065  0.000
88       x7 ~~      x7     2          se 0.071 0.071  0.000
89       x8 ~~      x8     2          se 0.066 0.066  0.000
90       x9 ~~      x9     2          se 0.067 0.067  0.000
91   visual ~~  visual     2          se 0.138 0.138  0.000
92  textual ~~ textual     2          se 0.134 0.133  0.001
93    speed ~~   speed     2          se 0.093 0.093  0.000
94   visual ~~ textual     2          se 0.097 0.097  0.000
95   visual ~~   speed     2          se 0.079 0.078  0.001
96  textual ~~   speed     2          se 0.084 0.084  0.000
97   visual =~      x1     1     est.std 1.006 0.995  0.011
98   visual =~      x2     1     est.std 0.181 0.179  0.002
99   visual =~      x3     1     est.std 0.412 0.408  0.004
100 textual =~      x4     1     est.std 1.044 1.033  0.011
101 textual =~      x5     1     est.std 1.072 1.060  0.012
102 textual =~      x6     1     est.std 0.835 0.826  0.009
103   speed =~      x7     1     est.std 0.671 0.664  0.007
104   speed =~      x8     1     est.std 0.566 0.560  0.006
105   speed =~      x9     1     est.std 0.596 0.590  0.006
106      x1 ~~      x1     1     est.std 0.118 0.116  0.002
107      x2 ~~      x2     1     est.std 1.149 1.125  0.024
108      x3 ~~      x3     1     est.std 0.962 0.942  0.020
109      x4 ~~      x4     1     est.std 0.296 0.290  0.006
110      x5 ~~      x5     1     est.std 0.356 0.348  0.008
111      x6 ~~      x6     1     est.std 0.269 0.264  0.005
112      x7 ~~      x7     1     est.std 0.554 0.542  0.012
113      x8 ~~      x8     1     est.std 0.586 0.573  0.013
114      x9 ~~      x9     1     est.std 0.450 0.440  0.010
115  visual ~~  visual     1     est.std 1.000 1.000  0.000
116 textual ~~ textual     1     est.std 1.000 1.000  0.000
117   speed ~~   speed     1     est.std 1.000 1.000  0.000
118  visual ~~ textual     1     est.std 0.586 0.586  0.000
119  visual ~~   speed     1     est.std 0.231 0.231  0.000
120 textual ~~   speed     1     est.std 0.304 0.304  0.000
121  visual =~      x1     2     est.std 0.734 0.736 -0.002
122  visual =~      x2     2     est.std 0.322 0.322  0.000
123  visual =~      x3     2     est.std 0.560 0.562 -0.002
124 textual =~      x4     2     est.std 0.940 0.942 -0.002
125 textual =~      x5     2     est.std 1.005 1.008 -0.003
126 textual =~      x6     2     est.std 0.961 0.963 -0.002
127   speed =~      x7     2     est.std 0.710 0.712 -0.002
128   speed =~      x8     2     est.std 0.794 0.796 -0.002
129   speed =~      x9     2     est.std 0.825 0.827 -0.002
130      x1 ~~      x1     2     est.std 0.513 0.516 -0.003
131      x2 ~~      x2     2     est.std 0.892 0.897 -0.005
132      x3 ~~      x3     2     est.std 0.658 0.662 -0.004
133      x4 ~~      x4     2     est.std 0.273 0.274 -0.001
134      x5 ~~      x5     2     est.std 0.374 0.376 -0.002
135      x6 ~~      x6     2     est.std 0.318 0.320 -0.002
136      x7 ~~      x7     2     est.std 0.566 0.570 -0.004
137      x8 ~~      x8     2     est.std 0.189 0.190 -0.001
138      x9 ~~      x9     2     est.std 0.360 0.362 -0.002
139  visual ~~  visual     2     est.std 1.000 1.000  0.000
140 textual ~~ textual     2     est.std 1.000 1.000  0.000
141   speed ~~   speed     2     est.std 1.000 1.000  0.000
142  visual ~~ textual     2     est.std 0.899 0.899  0.000
143  visual ~~   speed     2     est.std 0.680 0.680  0.000
144 textual ~~   speed     2     est.std 0.608 0.608  0.000
145  visual =~      x1     1 est.std.all 0.946 0.946  0.000
146  visual =~      x2     1 est.std.all 0.166 0.166  0.000
147  visual =~      x3     1 est.std.all 0.388 0.388  0.000
148 textual =~      x4     1 est.std.all 0.887 0.887  0.000
149 textual =~      x5     1 est.std.all 0.874 0.874  0.000
150 textual =~      x6     1 est.std.all 0.849 0.849  0.000
151   speed =~      x7     1 est.std.all 0.670 0.670  0.000
152   speed =~      x8     1 est.std.all 0.594 0.594  0.000
153   speed =~      x9     1 est.std.all 0.664 0.664  0.000
154      x1 ~~      x1     1 est.std.all 0.105 0.105  0.000
155      x2 ~~      x2     1 est.std.all 0.972 0.972  0.000
156      x3 ~~      x3     1 est.std.all 0.850 0.850  0.000
157      x4 ~~      x4     1 est.std.all 0.214 0.214  0.000
158      x5 ~~      x5     1 est.std.all 0.237 0.237  0.000
159      x6 ~~      x6     1 est.std.all 0.279 0.279  0.000
160      x7 ~~      x7     1 est.std.all 0.552 0.552  0.000
161      x8 ~~      x8     1 est.std.all 0.647 0.647  0.000
162      x9 ~~      x9     1 est.std.all 0.559 0.559  0.000
163  visual ~~  visual     1 est.std.all 1.000 1.000  0.000
164 textual ~~ textual     1 est.std.all 1.000 1.000  0.000
165   speed ~~   speed     1 est.std.all 1.000 1.000  0.000
166  visual ~~ textual     1 est.std.all 0.586 0.586  0.000
167  visual ~~   speed     1 est.std.all 0.231 0.231  0.000
168 textual ~~   speed     1 est.std.all 0.304 0.304  0.000
169  visual =~      x1     2 est.std.all 0.716 0.716  0.000
170  visual =~      x2     2 est.std.all 0.322 0.322  0.000
171  visual =~      x3     2 est.std.all 0.568 0.568  0.000
172 textual =~      x4     2 est.std.all 0.874 0.874  0.000
173 textual =~      x5     2 est.std.all 0.854 0.854  0.000
174 textual =~      x6     2 est.std.all 0.862 0.862  0.000
175   speed =~      x7     2 est.std.all 0.686 0.686  0.000
176   speed =~      x8     2 est.std.all 0.877 0.877  0.000
177   speed =~      x9     2 est.std.all 0.809 0.809  0.000
178      x1 ~~      x1     2 est.std.all 0.487 0.487  0.000
179      x2 ~~      x2     2 est.std.all 0.896 0.896  0.000
180      x3 ~~      x3     2 est.std.all 0.677 0.677  0.000
181      x4 ~~      x4     2 est.std.all 0.236 0.236  0.000
182      x5 ~~      x5     2 est.std.all 0.270 0.270  0.000
183      x6 ~~      x6     2 est.std.all 0.256 0.256  0.000
184      x7 ~~      x7     2 est.std.all 0.529 0.529  0.000
185      x8 ~~      x8     2 est.std.all 0.230 0.230  0.000
186      x9 ~~      x9     2 est.std.all 0.346 0.346  0.000
187  visual ~~  visual     2 est.std.all 1.000 1.000  0.000
188 textual ~~ textual     2 est.std.all 1.000 1.000  0.000
189   speed ~~   speed     2 est.std.all 1.000 1.000  0.000
190  visual ~~ textual     2 est.std.all 0.899 0.899  0.000
191  visual ~~   speed     2 est.std.all 0.680 0.680  0.000
192 textual ~~   speed     2 est.std.all 0.608 0.608  0.000
193  visual =~      x1     1 est.std.nox 0.946 0.946  0.000
194  visual =~      x2     1 est.std.nox 0.166 0.166  0.000
195  visual =~      x3     1 est.std.nox 0.388 0.388  0.000
196 textual =~      x4     1 est.std.nox 0.887 0.887  0.000
197 textual =~      x5     1 est.std.nox 0.874 0.874  0.000
198 textual =~      x6     1 est.std.nox 0.849 0.849  0.000
199   speed =~      x7     1 est.std.nox 0.670 0.670  0.000
200   speed =~      x8     1 est.std.nox 0.594 0.594  0.000
201   speed =~      x9     1 est.std.nox 0.664 0.664  0.000
202      x1 ~~      x1     1 est.std.nox 0.105 0.105  0.000
203      x2 ~~      x2     1 est.std.nox 0.972 0.972  0.000
204      x3 ~~      x3     1 est.std.nox 0.850 0.850  0.000
205      x4 ~~      x4     1 est.std.nox 0.214 0.214  0.000
206      x5 ~~      x5     1 est.std.nox 0.237 0.237  0.000
207      x6 ~~      x6     1 est.std.nox 0.279 0.279  0.000
208      x7 ~~      x7     1 est.std.nox 0.552 0.552  0.000
209      x8 ~~      x8     1 est.std.nox 0.647 0.647  0.000
210      x9 ~~      x9     1 est.std.nox 0.559 0.559  0.000
211  visual ~~  visual     1 est.std.nox 1.000 1.000  0.000
212 textual ~~ textual     1 est.std.nox 1.000 1.000  0.000
213   speed ~~   speed     1 est.std.nox 1.000 1.000  0.000
214  visual ~~ textual     1 est.std.nox 0.586 0.586  0.000
215  visual ~~   speed     1 est.std.nox 0.231 0.231  0.000
216 textual ~~   speed     1 est.std.nox 0.304 0.304  0.000
217  visual =~      x1     2 est.std.nox 0.716 0.716  0.000
218  visual =~      x2     2 est.std.nox 0.322 0.322  0.000
219  visual =~      x3     2 est.std.nox 0.568 0.568  0.000
220 textual =~      x4     2 est.std.nox 0.874 0.874  0.000
221 textual =~      x5     2 est.std.nox 0.854 0.854  0.000
222 textual =~      x6     2 est.std.nox 0.862 0.862  0.000
223   speed =~      x7     2 est.std.nox 0.686 0.686  0.000
224   speed =~      x8     2 est.std.nox 0.877 0.877  0.000
225   speed =~      x9     2 est.std.nox 0.809 0.809  0.000
226      x1 ~~      x1     2 est.std.nox 0.487 0.487  0.000
227      x2 ~~      x2     2 est.std.nox 0.896 0.896  0.000
228      x3 ~~      x3     2 est.std.nox 0.677 0.677  0.000
229      x4 ~~      x4     2 est.std.nox 0.236 0.236  0.000
230      x5 ~~      x5     2 est.std.nox 0.270 0.270  0.000
231      x6 ~~      x6     2 est.std.nox 0.256 0.256  0.000
232      x7 ~~      x7     2 est.std.nox 0.529 0.529  0.000
233      x8 ~~      x8     2 est.std.nox 0.230 0.230  0.000
234      x9 ~~      x9     2 est.std.nox 0.346 0.346  0.000
235  visual ~~  visual     2 est.std.nox 1.000 1.000  0.000
236 textual ~~ textual     2 est.std.nox 1.000 1.000  0.000
237   speed ~~   speed     2 est.std.nox 1.000 1.000  0.000
238  visual ~~ textual     2 est.std.nox 0.899 0.899  0.000
