# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:50:14 2024 
# file:  ex3.1.out 

   lhs op rhs group        type   lav   mpl delta
1   y1  ~  x1     1         est 0.969 0.969     0
2   y1  ~  x3     1         est 0.649 0.649     0
3   y1 ~~  y1     1         est 0.941 0.941     0
4   y1 ~1         1         est 0.511 0.511     0
5   y1  ~  x1     1          se 0.042 0.042     0
6   y1  ~  x3     1          se 0.044 0.044     0
7   y1 ~~  y1     1          se 0.060 0.060     0
8   y1 ~1         1          se 0.043 0.043     0
9   y1  ~  x1     1     est.std 0.969 0.969     0
10  y1  ~  x3     1     est.std 0.649 0.649     0
11  y1 ~~  y1     1     est.std 0.941 0.941     0
12  y1 ~1         1     est.std 0.511 0.511     0
13  y1  ~  x1     1 est.std.all 0.653 0.653     0
14  y1  ~  x3     1 est.std.all 0.409 0.409     0
15  y1 ~~  y1     1 est.std.all 0.391 0.391     0
16  y1 ~1         1 est.std.all 0.329 0.329     0
17  y1  ~  x1     1 est.std.nox 0.625 0.625     0
18  y1  ~  x3     1 est.std.nox 0.418 0.418     0
19  y1 ~~  y1     1 est.std.nox 0.391 0.391     0
20  y1 ~1         1 est.std.nox 0.329 0.329     0

                            fit      lav      mpl delta
1                          npar    4.000    4.000     0
2                          fmin    0.000       NA    NA
3                         chisq    0.000    0.000     0
4                            df    0.000    0.000     0
5                        pvalue       NA    0.000    NA
6                baseline.chisq  469.585  469.585     0
7                   baseline.df    2.000    2.000     0
8               baseline.pvalue    0.000    0.000     0
9                           cfi    1.000    1.000     0
10                          tli    1.000    1.000     0
11                   cfi.robust    1.000       NA    NA
12                   tli.robust    1.000       NA    NA
13                         nnfi    1.000       NA    NA
14                          rfi    1.000       NA    NA
15                          nfi    1.000       NA    NA
16                         pnfi    0.000       NA    NA
17                          ifi    1.000       NA    NA
18                          rni    1.000       NA    NA
19                  nnfi.robust    1.000       NA    NA
20                   rni.robust    1.000       NA    NA
21                         logl -694.334 -694.334     0
22            unrestricted.logl -694.334 -694.334     0
23                          aic 1396.667 1396.667     0
24                          bic 1413.526 1413.526     0
25                         bic2 1400.830 1400.830     0
26                        rmsea    0.000    0.000     0
27               rmsea.ci.lower    0.000    0.000     0
28               rmsea.ci.upper    0.000    0.000     0
29               rmsea.ci.level    0.900       NA    NA
30                 rmsea.pvalue       NA    0.000    NA
31               rmsea.close.h0    0.050       NA    NA
32        rmsea.notclose.pvalue       NA       NA    NA
33            rmsea.notclose.h0    0.080       NA    NA
34                 rmsea.robust    0.000       NA    NA
35        rmsea.ci.lower.robust    0.000       NA    NA
36        rmsea.ci.upper.robust    0.000       NA    NA
37          rmsea.pvalue.robust       NA       NA    NA
38 rmsea.notclose.pvalue.robust       NA       NA    NA
39                          rmr    0.000       NA    NA
40                   rmr_nomean    0.000       NA    NA
41                         srmr    0.000    0.000     0
42                 srmr_bentler    0.000       NA    NA
43          srmr_bentler_nomean    0.000       NA    NA
44                         crmr    0.000       NA    NA
45                  crmr_nomean    0.000       NA    NA
46                   srmr_mplus    0.000       NA    NA
47            srmr_mplus_nomean    0.000       NA    NA
48                        cn_05    1.000       NA    NA
49                        cn_01    1.000       NA    NA
50                          gfi    1.000       NA    NA
51                         agfi    1.000       NA    NA
52                         pgfi    0.000       NA    NA
53                          mfi    1.000       NA    NA
54                         ecvi    0.016       NA    NA
