# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:23:12 2024 
# file:  ex3.12.out 

   lhs op rhs group type    lav    mpl  delta
1   u1  ~  x1     1  est  2.662  2.662  0.000
2   u1  ~  x2     1  est  1.719  1.719  0.000
3   u1  ~  x3     1  est  0.927  0.928 -0.001
4   u2  ~  x1     1  est  0.920  0.920  0.000
5   u2  ~  x2     1  est  2.132  2.132  0.000
6   u2  ~  x3     1  est  3.553  3.553  0.000
7   u3  ~  u1     1  est  0.588  0.588  0.000
8   u3  ~  u2     1  est -0.460 -0.460  0.000
9   u3  ~  x2     1  est  2.227  2.227  0.000
10  u1  |  t1     1  est -0.877 -0.877  0.000
11  u1  |  t2     1  est  1.101  1.101  0.000
12  u2  |  t1     1  est  0.111  0.111  0.000
13  u3  |  t1     1  est -0.502 -0.502  0.000
14  u3  |  t2     1  est  0.463  0.463  0.000
15  u3  |  t3     1  est  1.696  1.696  0.000
16  u1  ~  x1     1   se  0.197  0.197  0.000
17  u1  ~  x2     1   se  0.129  0.129  0.000
18  u1  ~  x3     1   se  0.104  0.104  0.000
19  u2  ~  x1     1   se  0.177  0.177  0.000
20  u2  ~  x2     1   se  0.311  0.311  0.000
21  u2  ~  x3     1   se  0.463  0.463  0.000
22  u3  ~  u1     1   se  0.050  0.050  0.000
23  u3  ~  u2     1   se  0.064  0.064  0.000
24  u3  ~  x2     1   se  0.169  0.168  0.001
25  u1  |  t1     1   se  0.108  0.108  0.000
26  u1  |  t2     1   se  0.115  0.115  0.000
27  u2  |  t1     1   se  0.114  0.114  0.000
28  u3  |  t1     1   se  0.098  0.098  0.000
29  u3  |  t2     1   se  0.093  0.093  0.000
30  u3  |  t3     1   se  0.127  0.127  0.000

                             fit      lav     mpl   delta
1                           npar   15.000  15.000   0.000
2                           fmin    0.001      NA      NA
3                          chisq    0.816   0.936  -0.120
4                             df    3.000   3.000   0.000
5                         pvalue    0.846   0.817   0.029
6                   chisq.scaled    0.936   0.936   0.000
7                      df.scaled    3.000   3.000   0.000
8                  pvalue.scaled    0.817   0.817   0.000
9           chisq.scaling.factor    0.984      NA      NA
10                baseline.chisq 1147.711 875.406 272.305
11                   baseline.df   12.000  12.000   0.000
12               baseline.pvalue    0.000   0.000   0.000
13         baseline.chisq.scaled  873.675 875.406  -1.731
14            baseline.df.scaled   12.000  12.000   0.000
15        baseline.pvalue.scaled    0.000   0.000   0.000
16 baseline.chisq.scaling.factor    1.318      NA      NA
17                           cfi    1.000   1.000   0.000
18                           tli    1.008   1.010  -0.002
19                    cfi.scaled    1.000   1.000   0.000
20                    tli.scaled    1.010   1.010   0.000
21                    cfi.robust       NA      NA      NA
22                    tli.robust       NA      NA      NA
23                          nnfi    1.008      NA      NA
24                           rfi    0.997      NA      NA
25                           nfi    0.999      NA      NA
26                          pnfi    0.250      NA      NA
27                           ifi    1.002      NA      NA
28                           rni    1.002      NA      NA
29                   nnfi.scaled    1.010      NA      NA
30                    rfi.scaled    0.996      NA      NA
31                    nfi.scaled    0.999      NA      NA
32                   pnfi.scaled    0.250      NA      NA
33                    ifi.scaled    1.002      NA      NA
34                    rni.scaled    1.002      NA      NA
35                   nnfi.robust       NA      NA      NA
36                    rni.robust       NA      NA      NA
37                         rmsea    0.000   0.000   0.000
38                rmsea.ci.lower    0.000   0.000   0.000
39                rmsea.ci.upper    0.042   0.046  -0.004
40                rmsea.ci.level    0.900      NA      NA
41                  rmsea.pvalue    0.969   0.961   0.008
42                rmsea.close.h0    0.050      NA      NA
43         rmsea.notclose.pvalue    0.003      NA      NA
44             rmsea.notclose.h0    0.080      NA      NA
45                  rmsea.scaled    0.000   0.000   0.000
46         rmsea.ci.lower.scaled    0.000   0.000   0.000
47         rmsea.ci.upper.scaled    0.046   0.046   0.000
48           rmsea.pvalue.scaled    0.961   0.961   0.000
49  rmsea.notclose.pvalue.scaled    0.003      NA      NA
50                  rmsea.robust       NA      NA      NA
51         rmsea.ci.lower.robust       NA      NA      NA
52         rmsea.ci.upper.robust       NA      NA      NA
53           rmsea.pvalue.robust       NA      NA      NA
54  rmsea.notclose.pvalue.robust       NA      NA      NA
55                           rmr    0.027      NA      NA
56                    rmr_nomean    0.034      NA      NA
57                          srmr    0.034   0.017   0.017
58                  srmr_bentler    0.027      NA      NA
59           srmr_bentler_nomean    0.034      NA      NA
60                          crmr    0.034      NA      NA
61                   crmr_nomean    0.059      NA      NA
62                    srmr_mplus       NA      NA      NA
63             srmr_mplus_nomean       NA      NA      NA
64                         cn_05 4781.748      NA      NA
65                         cn_01 6941.350      NA      NA
66                           gfi    0.999      NA      NA
67                          agfi    0.997      NA      NA
68                          pgfi    0.167      NA      NA
69                           mfi    1.002      NA      NA
70                          wrmr    0.213      NA      NA
