# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:50:16 2024 
# file:  ex3.13.out 

   lhs op rhs group type    lav    mpl delta
1   u1  ~  x1     1  est  2.917  2.917 0.000
2   u1  ~  x2     1  est  1.926  1.926 0.000
3   u1  ~  x3     1  est  1.030  1.030 0.000
4   u2  ~  x1     1  est  1.046  1.046 0.000
5   u2  ~  x2     1  est  2.084  2.084 0.000
6   u2  ~  x3     1  est  3.213  3.213 0.000
7   u3  ~  u1     1  est  1.110  1.110 0.000
8   u3  ~  u2     1  est -1.027 -1.027 0.000
9   u3  ~  x2     1  est  2.188  2.188 0.000
10  u1  |  t1     1  est -0.957 -0.957 0.000
11  u1  |  t2     1  est  1.109  1.109 0.000
12  u2  |  t1     1  est  0.064  0.064 0.000
13  u3  |  t1     1  est -0.653 -0.653 0.000
14  u3  |  t2     1  est  0.523  0.523 0.000
15  u3  |  t3     1  est  1.594  1.593 0.001
16  u1  ~  x1     1   se  0.153  0.152 0.001
17  u1  ~  x2     1   se  0.103  0.103 0.000
18  u1  ~  x3     1   se  0.077  0.077 0.000
19  u2  ~  x1     1   se  0.105  0.105 0.000
20  u2  ~  x2     1   se  0.175  0.175 0.000
21  u2  ~  x3     1   se  0.230  0.230 0.000
22  u3  ~  u1     1   se  0.185  0.184 0.001
23  u3  ~  u2     1   se  0.196  0.196 0.000
24  u3  ~  x2     1   se  0.324  0.324 0.000
25  u1  |  t1     1   se  0.081  0.081 0.000
26  u1  |  t2     1   se  0.087  0.087 0.000
27  u2  |  t1     1   se  0.080  0.080 0.000
28  u3  |  t1     1   se  0.127  0.127 0.000
29  u3  |  t2     1   se  0.124  0.124 0.000
30  u3  |  t3     1   se  0.226  0.225 0.001

                             fit      lav      mpl   delta
1                           npar   15.000   15.000   0.000
2                           fmin    0.003       NA      NA
3                          chisq    6.737    6.871  -0.134
4                             df    3.000    3.000   0.000
5                         pvalue    0.081    0.076   0.005
6                   chisq.scaled    6.871    6.871   0.000
7                      df.scaled    3.000    3.000   0.000
8                  pvalue.scaled    0.076    0.076   0.000
9           chisq.scaling.factor    1.014       NA      NA
10                baseline.chisq 2355.658 1810.771 544.887
11                   baseline.df   12.000   12.000   0.000
12               baseline.pvalue    0.000    0.000   0.000
13         baseline.chisq.scaled 1810.568 1810.771  -0.203
14            baseline.df.scaled   12.000   12.000   0.000
15        baseline.pvalue.scaled    0.000    0.000   0.000
16 baseline.chisq.scaling.factor    1.303       NA      NA
17                           cfi    0.998    0.998   0.000
18                           tli    0.994    0.991   0.003
19                    cfi.scaled    0.998    0.998   0.000
20                    tli.scaled    0.991    0.991   0.000
21                    cfi.robust       NA       NA      NA
22                    tli.robust       NA       NA      NA
23                          nnfi    0.994       NA      NA
24                           rfi    0.989       NA      NA
25                           nfi    0.997       NA      NA
26                          pnfi    0.249       NA      NA
27                           ifi    0.998       NA      NA
28                           rni    0.998       NA      NA
29                   nnfi.scaled    0.991       NA      NA
30                    rfi.scaled    0.985       NA      NA
31                    nfi.scaled    0.996       NA      NA
32                   pnfi.scaled    0.249       NA      NA
33                    ifi.scaled    0.998       NA      NA
34                    rni.scaled    0.998       NA      NA
35                   nnfi.robust       NA       NA      NA
36                    rni.robust       NA       NA      NA
37                         rmsea    0.035    0.036  -0.001
38                rmsea.ci.lower    0.000    0.000   0.000
39                rmsea.ci.upper    0.072    0.072   0.000
40                rmsea.ci.level    0.900       NA      NA
41                  rmsea.pvalue    0.701    0.691   0.010
42                rmsea.close.h0    0.050       NA      NA
43         rmsea.notclose.pvalue    0.019       NA      NA
44             rmsea.notclose.h0    0.080       NA      NA
45                  rmsea.scaled    0.036    0.036   0.000
46         rmsea.ci.lower.scaled    0.000    0.000   0.000
47         rmsea.ci.upper.scaled    0.072    0.072   0.000
48           rmsea.pvalue.scaled    0.691    0.691   0.000
49  rmsea.notclose.pvalue.scaled    0.020       NA      NA
50                  rmsea.robust       NA       NA      NA
51         rmsea.ci.lower.robust       NA       NA      NA
52         rmsea.ci.upper.robust       NA       NA      NA
53           rmsea.pvalue.robust       NA       NA      NA
54  rmsea.notclose.pvalue.robust       NA       NA      NA
55                           rmr    0.060       NA      NA
56                    rmr_nomean    0.077       NA      NA
57                          srmr    0.077    0.019   0.058
58                  srmr_bentler    0.060       NA      NA
59           srmr_bentler_nomean    0.077       NA      NA
60                          crmr    0.077       NA      NA
61                   crmr_nomean    0.134       NA      NA
62                    srmr_mplus       NA       NA      NA
63             srmr_mplus_nomean       NA       NA      NA
64                         cn_05 1159.763       NA      NA
65                         cn_01 1683.210       NA      NA
66                           gfi    0.998       NA      NA
67                          agfi    0.986       NA      NA
68                          pgfi    0.166       NA      NA
69                           mfi    0.998       NA      NA
70                          wrmr    0.612       NA      NA
