# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Tue Jan 16 18:03:59 2024 
# file:  ex4.1part2.out 

    lhs op rhs group        type    lav    mpl  delta
1    f1 =~  y1     1         est  0.624  0.623  0.001
2    f1 =~  y2     1         est  0.814  0.814  0.000
3    f1 =~  y3     1         est  0.618  0.618  0.000
4    f1 =~  y4     1         est  0.025  0.027 -0.002
5    f1 =~  y5     1         est -0.031 -0.029 -0.002
6    f1 =~  y6     1         est  0.009  0.011 -0.002
7    f1 =~  y7     1         est  0.000 -0.006  0.006
8    f1 =~  y8     1         est -0.034 -0.039  0.005
9    f1 =~  y9     1         est  0.053  0.047  0.006
10   f1 =~ y10     1         est -0.044 -0.040 -0.004
11   f1 =~ y11     1         est -0.001  0.004 -0.005
12   f1 =~ y12     1         est  0.031  0.035 -0.004
13   f2 =~  y1     1         est  0.002  0.008 -0.006
14   f2 =~  y2     1         est  0.014  0.022 -0.008
15   f2 =~  y3     1         est -0.047 -0.041 -0.006
16   f2 =~  y4     1         est  0.652  0.652  0.000
17   f2 =~  y5     1         est  0.756  0.756  0.000
18   f2 =~  y6     1         est  0.697  0.697  0.000
19   f2 =~  y7     1         est  0.003  0.003  0.000
20   f2 =~  y8     1         est  0.003  0.002  0.001
21   f2 =~  y9     1         est -0.007 -0.007  0.000
22   f2 =~ y10     1         est  0.005  0.007 -0.002
23   f2 =~ y11     1         est  0.011  0.014 -0.003
24   f2 =~ y12     1         est -0.039 -0.037 -0.002
25   f3 =~  y1     1         est  0.079  0.073  0.006
26   f3 =~  y2     1         est  0.003 -0.005  0.008
27   f3 =~  y3     1         est -0.052 -0.057  0.005
28   f3 =~  y4     1         est  0.002 -0.002  0.004
29   f3 =~  y5     1         est -0.019 -0.023  0.004
30   f3 =~  y6     1         est  0.036  0.031  0.005
31   f3 =~  y7     1         est  0.745  0.745  0.000
32   f3 =~  y8     1         est  0.724  0.724  0.000
33   f3 =~  y9     1         est  0.690  0.689  0.001
34   f3 =~ y10     1         est -0.011 -0.010 -0.001
35   f3 =~ y11     1         est  0.001  0.001  0.000
36   f3 =~ y12     1         est  0.008  0.009 -0.001
37   f4 =~  y1     1         est -0.005 -0.021  0.016
38   f4 =~  y2     1         est  0.062  0.041  0.021
39   f4 =~  y3     1         est -0.012 -0.027  0.015
40   f4 =~  y4     1         est -0.016 -0.018  0.002
41   f4 =~  y5     1         est  0.018  0.016  0.002
42   f4 =~  y6     1         est -0.010 -0.012  0.002
43   f4 =~  y7     1         est  0.019  0.018  0.001
44   f4 =~  y8     1         est -0.016 -0.016  0.000
45   f4 =~  y9     1         est  0.001 -0.001  0.002
46   f4 =~ y10     1         est  0.739  0.740 -0.001
47   f4 =~ y11     1         est  0.828  0.829 -0.001
48   f4 =~ y12     1         est  0.671  0.670  0.001
49   y1 ~~  y1     1         est  0.564  0.564  0.000
50   y2 ~~  y2     1         est  0.352  0.352  0.000
51   y3 ~~  y3     1         est  0.569  0.569  0.000
52   y4 ~~  y4     1         est  0.592  0.592  0.000
53   y5 ~~  y5     1         est  0.419  0.419  0.000
54   y6 ~~  y6     1         est  0.581  0.581  0.000
55   y7 ~~  y7     1         est  0.476  0.476  0.000
56   y8 ~~  y8     1         est  0.467  0.467  0.000
57   y9 ~~  y9     1         est  0.474  0.474  0.000
58  y10 ~~ y10     1         est  0.594  0.594  0.000
59  y11 ~~ y11     1         est  0.413  0.413  0.000
60  y12 ~~ y12     1         est  0.580  0.580  0.000
61   f1 ~~  f1     1         est  1.000  1.000  0.000
62   f2 ~~  f2     1         est  1.000  1.000  0.000
63   f3 ~~  f3     1         est  1.000  1.000  0.000
64   f4 ~~  f4     1         est  1.000  1.000  0.000
65   f1 ~~  f2     1         est -0.024 -0.039  0.015
66   f1 ~~  f3     1         est -0.009  0.007 -0.016
67   f1 ~~  f4     1         est -0.022 -0.002 -0.020
68   f2 ~~  f3     1         est  0.023  0.029 -0.006
69   f2 ~~  f4     1         est -0.120 -0.121  0.001
70   f3 ~~  f4     1         est -0.029 -0.028 -0.001
71   y1 ~1         1         est  0.008  0.008  0.000
72   y2 ~1         1         est  0.033  0.033  0.000
73   y3 ~1         1         est  0.003  0.003  0.000
74   y4 ~1         1         est  0.073  0.073  0.000
75   y5 ~1         1         est  0.063  0.063  0.000
76   y6 ~1         1         est  0.062  0.062  0.000
