# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:51:56 2024 
# file:  ex5.14.out 

    lhs op rhs group        type   lav   mpl delta
1    f1 =~  y1     1         est 1.000 1.000     0
2    f1 =~  y2     1         est 1.014 1.014     0
3    f1 =~  y3     1         est 1.013 1.013     0
4    f2 =~  y4     1         est 1.000 1.000     0
5    f2 =~  y5     1         est 1.001 1.001     0
6    f2 =~  y6     1         est 1.008 1.008     0
7    f1  ~  x1     1         est 0.501 0.501     0
8    f1  ~  x2     1         est 0.571 0.571     0
9    f1  ~  x3     1         est 0.697 0.697     0
10   f2  ~  x1     1         est 0.664 0.664     0
11   f2  ~  x2     1         est 0.589 0.589     0
12   f2  ~  x3     1         est 0.423 0.423     0
13   y1 ~~  y1     1         est 0.525 0.525     0
14   y2 ~~  y2     1         est 0.518 0.518     0
15   y3 ~~  y3     1         est 0.477 0.477     0
16   y4 ~~  y4     1         est 0.554 0.554     0
17   y5 ~~  y5     1         est 0.396 0.396     0
18   y6 ~~  y6     1         est 0.516 0.516     0
19   f1 ~~  f1     1         est 0.733 0.733     0
20   f2 ~~  f2     1         est 0.615 0.615     0
21   f1 ~~  f2     1         est 0.224 0.224     0
22   f1 =~  y1     2         est 1.000 1.000     0
23   f1 =~  y2     2         est 1.014 1.014     0
24   f1 =~  y3     2         est 0.480 0.480     0
25   f2 =~  y4     2         est 1.000 1.000     0
26   f2 =~  y5     2         est 1.001 1.001     0
27   f2 =~  y6     2         est 1.008 1.008     0
28   f1  ~  x1     2         est 0.440 0.440     0
29   f1  ~  x2     2         est 0.598 0.598     0
30   f1  ~  x3     2         est 0.643 0.643     0
31   f2  ~  x1     2         est 0.681 0.681     0
32   f2  ~  x2     2         est 0.638 0.638     0
33   f2  ~  x3     2         est 0.505 0.505     0
34   y1 ~~  y1     2         est 0.492 0.492     0
35   y2 ~~  y2     2         est 0.504 0.504     0
36   y3 ~~  y3     2         est 0.466 0.466     0
37   y4 ~~  y4     2         est 0.616 0.616     0
38   y5 ~~  y5     2         est 0.512 0.512     0
39   y6 ~~  y6     2         est 0.485 0.485     0
40   f1 ~~  f1     2         est 0.747 0.747     0
41   f2 ~~  f2     2         est 0.739 0.739     0
42   f1 ~~  f2     2         est 0.279 0.279     0
43   f1 =~  y1     1          se 0.000 0.000     0
44   f1 =~  y2     1          se 0.020 0.020     0
45   f1 =~  y3     1          se 0.027 0.027     0
46   f2 =~  y4     1          se 0.000 0.000     0
47   f2 =~  y5     1          se 0.018 0.018     0
48   f2 =~  y6     1          se 0.018 0.018     0
49   f1  ~  x1     1          se 0.026 0.026     0
50   f1  ~  x2     1          se 0.031 0.031     0
51   f1  ~  x3     1          se 0.043 0.043     0
52   f2  ~  x1     1          se 0.024 0.024     0
53   f2  ~  x2     1          se 0.028 0.028     0
54   f2  ~  x3     1          se 0.039 0.039     0
55   y1 ~~  y1     1          se 0.046 0.046     0
56   y2 ~~  y2     1          se 0.046 0.046     0
57   y3 ~~  y3     1          se 0.044 0.044     0
58   y4 ~~  y4     1          se 0.046 0.046     0
59   y5 ~~  y5     1          se 0.038 0.038     0
60   y6 ~~  y6     1          se 0.044 0.044     0
61   f1 ~~  f1     1          se 0.061 0.061     0
62   f2 ~~  f2     1          se 0.051 0.051     0
63   f1 ~~  f2     1          se 0.039 0.039     0
64   f1 =~  y1     2          se 0.000 0.000     0
65   f1 =~  y2     2          se 0.020 0.020     0
66   f1 =~  y3     2          se 0.019 0.019     0
67   f2 =~  y4     2          se 0.000 0.000     0
68   f2 =~  y5     2          se 0.018 0.018     0
69   f2 =~  y6     2          se 0.018 0.018     0
70   f1  ~  x1     2          se 0.024 0.024     0
71   f1  ~  x2     2          se 0.028 0.028     0
72   f1  ~  x3     2          se 0.038 0.038     0
73   f2  ~  x1     2          se 0.024 0.024     0
74   f2  ~  x2     2          se 0.028 0.028     0
75   f2  ~  x3     2          se 0.037 0.037     0
76   y1 ~~  y1     2          se 0.046 0.046     0
77   y2 ~~  y2     2          se 0.047 0.047     0
78   y3 ~~  y3     2          se 0.030 0.030     0
79   y4 ~~  y4     2          se 0.047 0.047     0
80   y5 ~~  y5     2          se 0.042 0.042     0
81   y6 ~~  y6     2          se 0.041 0.041     0
82   f1 ~~  f1     2          se 0.059 0.059     0
83   f2 ~~  f2     2          se 0.056 0.056     0
84   f1 ~~  f2     2          se 0.040 0.040     0
85   f1 =~  y1     1     est.std 1.657 1.657     0
86   f1 =~  y2     1     est.std 1.681 1.681     0
87   f1 =~  y3     1     est.std 1.679 1.679     0
88   f2 =~  y4     1     est.std 1.711 1.711     0
89   f2 =~  y5     1     est.std 1.712 1.712     0
90   f2 =~  y6     1     est.std 1.725 1.725     0
91   f1  ~  x1     1     est.std 0.302 0.302     0
92   f1  ~  x2     1     est.std 0.345 0.345     0
93   f1  ~  x3     1     est.std 0.421 0.421     0
94   f2  ~  x1     1     est.std 0.388 0.388     0
95   f2  ~  x2     1     est.std 0.344 0.344     0
96   f2  ~  x3     1     est.std 0.247 0.247     0
97   y1 ~~  y1     1     est.std 0.525 0.525     0
98   y2 ~~  y2     1     est.std 0.518 0.518     0
99   y3 ~~  y3     1     est.std 0.477 0.477     0
100  y4 ~~  y4     1     est.std 0.554 0.554     0
101  y5 ~~  y5     1     est.std 0.396 0.396     0
102  y6 ~~  y6     1     est.std 0.516 0.516     0
103  f1 ~~  f1     1     est.std 0.267 0.267     0
104  f2 ~~  f2     1     est.std 0.210 0.210     0
105  f1 ~~  f2     1     est.std 0.334 0.334     0
106  f1 =~  y1     2     est.std 1.632 1.632     0
107  f1 =~  y2     2     est.std 1.655 1.655     0
