# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:28:03 2024 
# file:  ex6.17.out 

     lhs op           rhs group type   lav   mpl  delta
1      i =~            y1     1  est 1.000 1.000  0.000
2      i =~            y2     1  est 1.000 1.000  0.000
3      i =~            y3     1  est 1.000 1.000  0.000
4      i =~            y4     1  est 1.000 1.000  0.000
5      s =~            y1     1  est 0.000 0.000  0.000
6      s =~            y2     1  est 1.000 1.000  0.000
7      s =~            y3     1  est 2.000 2.000  0.000
8      s =~            y4     1  est 3.000 3.000  0.000
9      i ~~             i     1  est 0.424 0.424  0.000
10     s ~~             s     1  est 0.142 0.142  0.000
11     i ~~             s     1  est 0.139 0.139  0.000
12     i ~1                   1  est 0.011 0.011  0.000
13     s ~1                   1  est 1.011 1.011  0.000
14    y1 ~~            y1     1  est 1.461 1.462 -0.001
15    y2 ~~            y2     1  est 1.461 1.462 -0.001
16    y3 ~~            y3     1  est 1.461 1.462 -0.001
17    y4 ~~            y4     1  est 1.461 1.462 -0.001
18    y1 ~~            y2     1  est 0.734 0.734  0.000
19    y1 ~~            y3     1  est 0.368 0.368  0.000
20    y1 ~~            y4     1  est 0.185 0.185  0.000
21    y2 ~~            y3     1  est 0.734 0.734  0.000
22    y2 ~~            y4     1  est 0.368 0.368  0.000
23    y3 ~~            y4     1  est 0.734 0.734  0.000
24 fcorr =~         fcorr     1  est 0.000    NA     NA
25 fcorr ~~         fcorr     1  est 0.502    NA     NA
26    p1 ==   resvar*corr     1  est 0.000    NA     NA
27    p2 == resvar*corr^2     1  est 0.000    NA     NA
28    p3 == resvar*corr^3     1  est 0.000    NA     NA
29     i =~            y1     1   se 0.000 0.000  0.000
30     i =~            y2     1   se 0.000 0.000  0.000
31     i =~            y3     1   se 0.000 0.000  0.000
32     i =~            y4     1   se 0.000 0.000  0.000
33     s =~            y1     1   se 0.000 0.000  0.000
34     s =~            y2     1   se 0.000 0.000  0.000
35     s =~            y3     1   se 0.000 0.000  0.000
36     s =~            y4     1   se 0.000 0.000  0.000
37     i ~~             i     1   se 0.263 0.253  0.010
38     s ~~             s     1   se 0.035 0.034  0.001
39     i ~~             s     1   se 0.053 0.052  0.001
40     i ~1                   1   se 0.042 0.042  0.000
41     s ~1                   1   se 0.021 0.021  0.000
42    y1 ~~            y1     1   se 0.235 0.225  0.010
43    y2 ~~            y2     1   se 0.235 0.225  0.010
44    y3 ~~            y3     1   se 0.235 0.225  0.010
45    y4 ~~            y4     1   se 0.235 0.225  0.010
46    y1 ~~            y2     1   se 0.219 0.209  0.010
47    y1 ~~            y3     1   se 0.161 0.154  0.007
48    y1 ~~            y4     1   se 0.106 0.102  0.004
49    y2 ~~            y3     1   se 0.219 0.209  0.010
50    y2 ~~            y4     1   se 0.161 0.154  0.007
51    y3 ~~            y4     1   se 0.219 0.209  0.010
52 fcorr =~         fcorr     1   se 0.000    NA     NA
53 fcorr ~~         fcorr     1   se 0.070    NA     NA
54    p1 ==   resvar*corr     1   se 0.000    NA     NA
55    p2 == resvar*corr^2     1   se 0.000    NA     NA
56    p3 == resvar*corr^3     1   se 0.000    NA     NA

                            fit       lav       mpl delta
1                          npar     7.000     7.000     0
2                          fmin     0.001        NA    NA
3                         chisq     2.469     2.469     0
4                            df     7.000     7.000     0
5                        pvalue     0.929     0.929     0
6                baseline.chisq  2118.221  2118.221     0
7                   baseline.df     6.000     6.000     0
8               baseline.pvalue     0.000     0.000     0
9                           cfi     1.000     1.000     0
10                          tli     1.002     1.002     0
11                   cfi.robust     1.000        NA    NA
12                   tli.robust     1.002        NA    NA
13                         nnfi     1.002        NA    NA
14                          rfi        NA        NA    NA
15                          nfi        NA        NA    NA
16                         pnfi     1.165        NA    NA
17                          ifi     1.002        NA    NA
18                          rni     1.002        NA    NA
19                  nnfi.robust     1.002        NA    NA
20                   rni.robust     1.002        NA    NA
21                         logl -6593.460 -6593.460     0
22            unrestricted.logl -6592.226 -6592.226     0
23                          aic 13200.921 13200.921     0
24                          bic 13235.275 13235.275     0
25                         bic2 13213.043 13213.043     0
26                        rmsea     0.000     0.000     0
27               rmsea.ci.lower     0.000     0.000     0
28               rmsea.ci.upper     0.012     0.012     0
29               rmsea.ci.level     0.900        NA    NA
30                 rmsea.pvalue     1.000     1.000     0
31               rmsea.close.h0     0.050        NA    NA
32        rmsea.notclose.pvalue     0.000        NA    NA
33            rmsea.notclose.h0     0.080        NA    NA
34                 rmsea.robust     0.000        NA    NA
35        rmsea.ci.lower.robust     0.000        NA    NA
36        rmsea.ci.upper.robust     0.012        NA    NA
37          rmsea.pvalue.robust     1.000        NA    NA
38 rmsea.notclose.pvalue.robust     0.000        NA    NA
39                          rmr     0.016        NA    NA
40                   rmr_nomean     0.016        NA    NA
41                         srmr     0.006     0.006     0
42                 srmr_bentler     0.007        NA    NA
43          srmr_bentler_nomean     0.006        NA    NA
44                         crmr     0.007        NA    NA
45                  crmr_nomean     0.005        NA    NA
46                   srmr_mplus     0.006        NA    NA
47            srmr_mplus_nomean     0.005        NA    NA
48                        cn_05  5697.730        NA    NA
49                        cn_01  7482.892        NA    NA
50                          gfi     0.999        NA    NA
51                         agfi     0.999        NA    NA
52                         pgfi     0.500        NA    NA
53                          mfi     1.002        NA    NA
54                         ecvi     0.016        NA    NA
